% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 17:03"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
14.200000000000001,1.058402062674665E-13,1.628215791011887E-15,4.686052348305257E-16
14.3,1.9431641879940054E-13,5.1125197331822015E-15,8.733719504291426E-16
14.4,3.5677113620155485E-13,1.5513786460551305E-14,1.5432317770480256E-15
14.5,6.205014732250892E-13,3.62691676563985E-14,2.556068523976103E-15
14.600000000000001,9.29613646936037E-13,7.264828609772133E-14,3.0041974119276596E-15
14.700000000000001,1.4441520677743027E-12,1.3800312835516435E-13,3.881361435712929E-15
14.8,2.515321140551876E-12,2.478943918024802E-13,8.11758606576478E-15
14.9,4.494325270080744E-12,4.178827738134212E-13,1.864289677251604E-14
15,7.7323688611729E-12,6.635289717617399E-13,3.838731902639956E-14
15.100000000000001,1.1399021474663866E-11,9.412458764559438E-13,5.758125767762216E-14
15.200000000000001,1.692089134909024E-11,1.5736030672368248E-12,8.580960290906162E-14
15.3,2.80347409058158E-11,3.1253962742765836E-12,1.5503410819015798E-13
15.4,4.847733256620434E-11,6.1614212277474094E-12,2.9721652699035143E-13
15.5,8.198542875161955E-11,1.1246473657821505E-11,5.443186127790815E-13
15.600000000000001,1.1997015529780792E-10,1.9876130940520366E-11,8.507360023071792E-13
15.700000000000001,1.729172971411136E-10,3.410230762165078E-11,1.3357862848031898E-12
15.8,2.7317560535379993E-10,5.532430518606374E-11,2.2788141424531503E-12
15.9,4.530938310081292E-10,8.494142511861006E-11,3.95916425744309E-12
16,7.450207251763649E-10,1.2435296890414074E-10,6.656181311959039E-12
16.1,1.091860627713504E-9,1.880435046836137E-10,1.0503065819497486E-11
16.2,1.5526921751665716E-9,3.094136435327712E-10,1.6758768765913586E-11
16.3,2.334125563645943E-9,5.182367513386582E-10,2.7391260541932337E-11
16.400000000000002,3.642770989261965E-9,8.442861939883096E-10,4.436851153827829E-11
16.5,5.685238648124894E-9,1.3173353373687435E-9,6.965849214567488E-11
16.6,8.129954993127477E-9,1.8342692920375163E-9,1.0845593592236545E-10
16.7,1.1224869171363418E-8,2.531403065126957E-9,1.7183499137943572E-10
16.8,1.604587542024524E-8,3.797654867386413E-9,2.705827513368864E-10
16.900000000000002,2.3668867977185124E-8,6.021942909565182E-9,4.1548630861471316E-10
17,3.516974107959488E-8,9.593185402412411E-9,6.173327560329038E-10
17.1,5.128139500147715E-8,1.4582978608489724E-8,8.731665411342746E-10
17.2,7.315712051311674E-8,2.138533436455913E-8,1.2627944435860203E-9
17.3,1.025033975963542E-7,3.0872794242672016E-8,1.9211470543947846E-9
17.400000000000002,1.4102670623302766E-7,4.391789981487914E-8,2.9831549645671836E-9
17.5,1.90433526404974E-7,6.139319265323074E-8,4.583748765109766E-9
17.6,2.601836479420651E-7,8.329928150987572E-8,6.6294587574127964E-9
17.7,3.622072108749818E-7,1.1351466053079529E-7,9.356892519252296E-9
17.8,5.019162204867967E-7,1.587286993787954E-7,1.339609655621414E-8
17.900000000000002,6.847226820605732E-7,2.2563076771667933E-7,1.9377117373883933E-8
18,9.160386008793678E-7,3.209102352072467E-7,2.793000147784704E-8
18.1,1.2256121430954495E-6,4.494246068495858E-7,3.909098438872763E-8
18.2,1.6568018448594732E-6,6.189357215031256E-7,5.408145099969658E-8
18.3,2.235435266452183E-6,8.404894496212169E-7,7.53091718751627E-8
18.400000000000002,2.9873399681542747E-6,1.1251316616571938E-6,1.0518191757953368E-7
18.5,3.938343510246428E-6,1.4839082280643812E-6,1.4610745867721522E-7
18.6,5.16766687262644E-6,1.948465016983511E-6,2.0037219430256028E-7
18.7,6.805969666870473E-6,2.5840003029004496E-6,2.737165668244144E-7
18.8,8.956237400777104E-6,3.4518885657863768E-6,3.737294116589412E-7
18.900000000000002,1.1721455582144745E-5,4.613504285612398E-6,5.079995642222964E-7
19,1.5204609718771776E-5,6.130221942349593E-6,6.841158599306314E-7
19.1,1.9583362424627092E-5,8.091409445825288E-6,9.187663995135457E-7
19.200000000000003,2.5200135347143154E-5,1.0595434412170464E-5,1.236485388000348E-6
19.3,3.2405052544313795E-5,1.3717170880811873E-5,1.6566308172567715E-6
19.400000000000002,4.1548238074133686E-5,1.7531492891176616E-5,2.198560679148595E-6
19.5,5.29798159945963E-5,2.211327448269127E-5,2.881632965541534E-6
19.6,6.70285063688971E-5,2.799303107819126E-5,3.736931696769605E-6
19.700000000000003,8.447032412190474E-5,3.583609890108383E-5,4.860981631053253E-6
19.8,1.0632633560412377E-4,4.591958319165386E-5,6.37130186708788E-6
19.900000000000002,1.3361760716606137E-4,5.852058919018734E-5,8.385411503569047E-6
20,1.6736520515822103E-4,7.391622213696864E-5,1.1020829639192086E-5
20.1,2.0805381821096947E-4,9.207017436122747E-5,1.4275174094129927E-5
20.200000000000003,2.5719553928872413E-4,1.1389194687181049E-4,1.830113664063929E-5
20.3,3.1735254124306975E-4,1.4107735792842982E-4,2.34488473055415E-5
20.400000000000002,3.9108699692559716E-4,1.7532222579080063E-4,3.0068436115658456E-5
20.5,4.809610791878875E-4,2.18322368718634E-4,3.85100330978111E-5
20.6,5.875098840200447E-4,2.7043430910616634E-4,4.963276368227939E-5
20.700000000000003,7.132441110225974E-4,3.322318327064415E-4,6.438706157471095E-5
20.8,8.636893384627788E-4,4.057366528173856E-4,8.326001921497996E-5
20.900000000000002,0.0010443711446078369,4.929704827369333E-4,1.0673872904296252E-4
21,0.001260815107724997,5.959550357630074E-4,1.3531028349853192E-4
21.1,0.0015134239948588475,7.168455055941563E-4,1.7139324399818815E-4
21.200000000000003,0.001805695822166935,8.598322066217177E-4,2.169180118595245E-4
21.3,0.0021477990415859458,0.001029989533182809,2.716394393740575E-4
21.400000000000002,0.002549902105052611,0.0012323918796145687,3.3531237883330917E-4
21.5,0.003022173464503603,0.0014721136402541094,4.0769168252879315E-4
21.6,0.003564904441122289,0.001751703699474418,4.938954481647227E-4
21.700000000000003,0.0041820733765074265,0.0020735855310170612,6.014638076168303E-4
21.8,0.0048893792532188705,0.0024426454132720566,7.337846644339207E-4
21.900000000000002,0.005702521053816551,0.0028637696246294605,8.942459221648127E-4
22,0.006637197760860299,0.0033418444434792794,0.0010862354843583068
