% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Mar 4 2026, 09:32"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
3.3000000000000003,5.574787875342703E-53,4.930795920882559E-56,3.010421066067E-56,7.079020448123156E-34,2.3623866064398627E-45,4.1601383209552483E-47,1.1073715142480302E-45,8.277988808959986E-47,1.7107007346646668E-45,1.1456860527024209E-48,2.8259257641838975E-47,9.328043382435074E-48,1.1341403265247189E-47,7.125615982578668E-47
3.4000000000000004,-8.80517635150992E-53,-1.6828901899712227E-57,7.065146550445776E-57,4.033941359809143E-34,7.893064343406912E-46,2.0659024409930793E-47,4.217870128269386E-46,3.3653360283099614E-47,7.132618834429983E-46,6.106843845576083E-49,7.997385949561705E-48,5.5380819793114E-48,6.1549234120017E-48,3.9337452046584253E-47
3.5,-4.336024003730926E-52,-1.4285984856143197E-55,-6.182588007482286E-56,-7.0578789398273745E-34,-4.096645179918439E-45,-5.100689789100757E-47,-1.7581760175658935E-45,-1.2479769331655123E-46,-2.5233798295411853E-45,-1.2742170491890786E-48,-5.351073151666781E-47,-8.605472283800368E-48,-1.2271217149011527E-47,-7.50156127169545E-47
3.6,1.2232294726667383E-50,1.1686228050842282E-53,6.38390644935902E-54,7.830923129119977E-35,7.963707141765781E-42,7.551177926280233E-32,9.457525191286814E-31,4.4624343476010525E-31,7.173440748256929E-42,1.6080627434665247E-32,1.3308372979382753E-32,1.9106313131761142E-32,4.6687448021106343E-32,1.3926483785534192E-30
3.7,3.1685820637066336E-50,3.08043681182086E-53,1.7102765852633626E-53,6.319401293901955E-34,2.2510261379783788E-41,7.047082168791649E-32,-2.480853030305345E-31,7.695259576122963E-31,2.0406583988702474E-41,2.8509839833933035E-32,-8.686879561552585E-32,-2.469177814597493E-33,6.341774390492538E-32,3.9910837740341086E-30
3.8000000000000003,2.8699363651444153E-50,3.2065223382764257E-53,1.8874228676168693E-53,-6.598105083408017E-33,2.957937370329499E-41,-3.624873157695983E-31,-9.628156535795536E-30,-5.53324103585618E-31,2.7240840696412376E-41,-1.6431367659288803E-32,-5.106849370843116E-31,-1.8306811835153904E-31,-1.3480718461779404E-31,5.426041576172699E-30
3.9000000000000004,-2.595468790957876E-50,-9.677543126264005E-54,-1.522228733616088E-54,-2.916503629082569E-32,1.5114851746720288E-41,-1.5707270761546814E-30,-3.3241104248484226E-29,-5.0454784209758236E-30,1.5220145226291704E-41,-1.7246199990209213E-31,-1.4682934827265604E-30,-6.410321539915256E-31,-7.329854098163018E-31,3.328257174699851E-30
4,-1.6150394572538127E-49,-1.195702683796488E-52,-5.73071300303007E-53,-7.462206337658492E-32,-3.493949685551912E-41,-3.901612902512258E-30,-7.713357151041424E-29,-1.4230108666700439E-29,-2.8111568066753924E-41,-4.933010617515671E-31,-3.169847863841847E-30,-1.4947029302470171E-30,-1.916115003959843E-30,-4.671534040653744E-30
4.1000000000000005,5.316050674844576E-48,8.127753605165036E-51,4.685125990219889E-51,4.144482930011828E-31,8.649842868776311E-29,4.018017896213788E-30,5.915591965086202E-28,4.077679372656437E-30,5.18654490977372E-29,2.2857347313039326E-30,2.3122654170312214E-29,9.229246271084903E-30,3.1116418116184967E-30,-6.0967543296418755E-30
4.2,1.3586194226214415E-47,2.0472292115404765E-50,1.2165593834373592E-50,1.1363818381238715E-30,7.778182372387214E-30,1.1603493533306148E-29,1.7129923226181457E-27,1.6776778763647575E-29,7.614835348716031E-31,6.390592152214233E-30,6.632946201519406E-29,2.575860990824521E-29,8.871859900913578E-30,-1.4991233814653538E-29
4.3,1.1847928048365502E-47,1.7860846145901137E-50,1.203019123416188E-50,7.950028510170867E-31,-7.434840375145277E-28,-1.4429302150939591E-29,1.7920547157178674E-27,-7.55849838861623E-29,-4.633623659730518E-28,4.2094474287797216E-30,6.651379295657991E-29,2.1356747945779262E-29,-3.231853180351502E-30,-7.350484889991055E-29
4.4,-1.2699746518721096E-47,-1.875978341978466E-50,-6.07498697868448E-51,-1.905864389293602E-30,-2.6746115295413696E-27,-1.0736448531622878E-28,-6.6636471529253825E-28,-3.724597819692118E-28,-1.6505565687104735E-27,-1.1869523211199417E-29,-3.626113571975548E-29,-3.0712979651768305E-29,-5.179588987645425E-29,-2.2378747598963635E-28
4.5,-7.2857828135063695E-47,-1.084427956980906E-49,-5.250384597243423E-50,-8.262395603782552E-30,-6.2929275922764666E-27,-3.004861721222645E-28,-7.157377061513337E-27,-9.732997888779313E-28,-3.870871593961799E-27,-4.945814353992254E-29,-3.019321067280344E-28,-1.571872129198515E-28,-1.5541664263167067E-28,-5.0798899148805105E-28
4.6000000000000005,2.25817209942911E-45,4.6971590271809804E-33,4.24083032251968E-33,5.195148387140568E-28,1.7540176947080921E-26,1.0884278149245962E-26,1.6902089416048246E-25,2.596180210509539E-26,1.8730145328873283E-26,2.4095113720433016E-27,5.487637566313552E-27,8.255541499751173E-27,6.405683656831081E-27,1.625746147701256E-27
4.7,5.722521426641048E-45,1.270311456527797E-32,1.1723500034805556E-32,1.3954638545740151E-27,4.376400206449125E-26,2.8212514923675537E-26,4.153696162441925E-25,7.031907207092155E-26,4.793751895862188E-26,6.528099451084701E-27,1.2680676682532782E-26,2.2905858069302723E-26,1.6940643696398236E-26,3.7838423409323374E-27
4.800000000000001,4.780388616197048E-45,1.488958429912237E-32,1.4588277253948226E-32,1.532661356010072E-27,-9.427739333873242E-27,2.658221093461554E-26,2.815926143136323E-25,7.506853652710442E-26,1.7337056808340622E-26,7.26618323273056E-27,4.91238662833466E-27,2.7394192044697563E-26,1.7314908463039927E-26,-1.4939970038125085E-27
4.9,-6.108027869206554E-45,2.1282859135454516E-33,4.9754300970381155E-33,-1.5581595294379718E-28,-2.2384133434183915E-25,-1.910864703448497E-26,-6.826062865071805E-25,-1.6819778107852427E-26,-1.3948543360891282E-25,-4.163601438728896E-28,-3.418203120987564E-26,5.32097297489832E-27,-6.606077056273705E-27,-2.1668068478550817E-26
5,-3.2482529566873355E-44,-3.4709062906621277E-32,-2.4974773318834115E-32,-4.7568913682535955E-27,-6.812830700532322E-25,-1.3396207220017662E-25,-2.927523261094224E-24,-2.623758454154447E-25,-4.889441447800809E-25,-2.1559653539579313E-26,-1.2096737544569286E-25,-5.971336959113205E-26,-6.895686787457236E-26,-6.419866867530012E-26
5.1000000000000005,3.559511324883659E-30,-8.527674719386589E-32,-6.418289886473281E-32,6.509988361423468E-26,1.8176103246562634E-23,1.1223387672342912E-24,8.466179392398803E-23,3.9744249370487316E-24,3.499254084854843E-24,2.8569038776327235E-25,2.751907712412947E-24,1.2122405797611542E-24,7.421219593886417E-25,1.8395964467469984E-24
