% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 18:20"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_Phase_2 (mol/m^3)
1.97,0.671349067990132,0.47434238465224715,0.375493919263553
1.98,0.6758224632317088,0.4791718075258888,0.3798172102932428
1.99,0.6802255999302497,0.48396996402816045,0.38413135375960605
2,0.6845537629646192,0.4887368541590512,0.38844115877921154
2.0100000000000002,0.6888067909325659,0.4934724779185733,0.3927466253520625
2.02,0.6929882224689738,0.49817683530671836,0.39704775347815935
2.0300000000000002,0.6971025894722709,0.5028499263234936,0.4013445431574992
2.04,0.7011461288141861,0.507476192094144,0.40563699439008766
2.05,0.7051188404947253,0.5120668154742618,0.4099178637624559
2.06,0.7090289648600058,0.5166226130060676,0.4141897536650601
2.07,0.7128737935395779,0.521143584689575,0.4184545997797276
2.08,0.7166521931643238,0.5256297305247662,0.42271240210645217
2.09,0.7203665602871256,0.53008105051166,0.42696316064523226
2.1,0.7240233213028023,0.534497544650244,0.43120687539606906
2.11,0.7276180239909386,0.5388714519805415,0.4354375720166151
2.12,0.7311506683515406,0.5431984651402351,0.4396526378522674
2.13,0.7346278635883537,0.5474864370076695,0.4438571357764411
2.14,0.7380492426733729,0.5517353675828434,0.4480510657891338
2.15,0.741412843138685,0.5559452568657561,0.452234427890344
2.16,0.7447198330091948,0.5601161048564123,0.4564072220800892
2.17,0.7479776465554023,0.5642479115548044,0.4605661873987763
2.18,0.7511816877421745,0.5683406769609378,0.46470168846768567
2.19,0.7543319565695307,0.5723855367370319,0.4688224475345081
2.2,0.7574332302753461,0.5763890844164461,0.47292846459924376
2.21,0.7604871043336161,0.580351458866783,0.47701973966189604
2.22,0.763491084730823,0.5842726600880555,0.48109627272245326
2.23,0.7664453517365292,0.5881526880802517,0.4851580637809234
2.24,0.7693576774527547,0.5919915428433838,0.4891891100217837
2.25,0.7722236292750562,0.5957892243774465,0.4932006084523915
2.2600000000000002,0.7750432072034336,0.5995452803072225,0.4971928508891931
2.27,0.7778193926922966,0.6032595438718122,0.5011658373321767
2.2800000000000002,0.7805549763798044,0.6069324082489326,0.5051195677813501
2.29,0.7832473733821252,0.6105638734385841,0.5090540422366963
2.3000000000000003,0.7858965836992617,0.6141539394407637,0.5129581311933917
2.31,0.788508780959491,0.6177026062554732,0.5168347830662844
2.32,0.791081393950443,0.621209873882704,0.5206877384585934
2.33,0.7936138922028866,0.6246758477665567,0.5245169973703077
2.34,0.7961080603752222,0.6281061157708652,0.5283225598014324
2.35,0.798567455833211,0.6314963454361909,0.5321044257519656
2.36,0.8009894584673687,0.6348465367625236,0.5358565751044528
2.37,0.8033740682777296,0.6381566897498678,0.539575024124792
2.38,0.8057255829856637,0.641426804398222,0.5432658566261396
2.39,0.8080432481312831,0.6446568807075882,0.546929072608481
2.4,0.8103260877652465,0.6478469186779652,0.5505646720718279
2.41,0.8125750064662154,0.6510023203961118,0.5541726550161628
2.42,0.8147939364851083,0.6541242122903892,0.5577511158609211
2.43,0.8169803467233957,0.6572085616902702,0.5612923502799538
2.44,0.8191342371810734,0.6602553685957501,0.5648029588994831
2.45,0.821258289849342,0.6632646330068344,0.5682829417194907
2.46,0.8233529330899304,0.666236354923513,0.5717322987399911
2.47,0.8254170361892219,0.6691705343457841,0.5751510299609758
2.48,0.8274508709447093,0.6720678713223541,0.5785391353824468
2.49,0.8294583085726345,0.6749405499416992,0.5818904309824011
2.5,0.831437075269715,0.6777788457361765,0.5852088931082814
2.5100000000000002,0.833387171035938,0.6805827587057677,0.588494891411083
2.52,0.8353105214594392,0.683352288850501,0.5917484258908239
2.5300000000000002,0.8372083964237429,0.6860874361703547,0.5949694965475001
2.54,0.8390794308725226,0.6887882006653347,0.5981581033811005
2.5500000000000003,0.8409236248057742,0.6914545823354463,0.6013128896470632
2.56,0.8427442719040692,0.6940945181459597,0.6044340700858981
2.57,0.8445397418387927,0.6967085593951144,0.6075222062128794
2.58,0.8463099042069668,0.6992916267462223,0.6105772980279998
2.59,0.8480558412812405,0.7018437201992935,0.6135993455312724
2.6,0.8497791620864379,0.7043648397543205,0.6165883487226801
