% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
2.48,-7.66497094405065E-74
2.49,-8.749647576609452E-74
2.5,-9.904223700097022E-74
2.5100000000000002,1.1506359239189259E-49
2.52,4.386871527098208E-49
2.5300000000000002,9.385198556672217E-49
2.54,1.5822108759774804E-48
2.5500000000000003,2.3374093883540375E-48
2.56,3.1717645675102625E-48
2.57,4.052925588159533E-48
2.58,4.948541625015365E-48
2.59,5.826261852791087E-48
2.6,6.653735446200203E-48
2.61,7.398611579956045E-48
2.62,8.02853942877208E-48
2.63,8.511168167361525E-48
2.64,8.814146970438067E-48
2.65,8.905125012714916E-48
2.66,8.751751468905509E-48
2.67,8.321675513723543E-48
2.68,7.582546321881929E-48
2.69,6.50201306809443E-48
2.7,5.0477249270743923E-48
2.71,3.187331073535142E-48
2.72,8.88480682190152E-49
2.73,-1.8811770722471062E-48
2.74,-5.15399301506343E-48
2.75,-8.962317971545107E-48
2.7600000000000002,-1.3338502766979138E-47
2.77,-1.8314898226651533E-47
2.7800000000000002,-2.392385517584958E-47
2.79,-3.0197724439859216E-47
2.8000000000000003,-3.7168856843967415E-47
2.81,-4.486960321346064E-47
2.82,-5.333231437362539E-47
2.83,-6.258934114974837E-47
2.84,-7.267303436711637E-47
2.85,-8.361574485101582E-47
2.86,-9.54498234267335E-47
2.87,-1.0820762091955505E-46
2.88,-1.219214881547685E-46
2.89,-1.3662377595765944E-46
2.9,-1.5234683515351442E-46
2.91,-1.6912301656762163E-46
2.92,-1.8698467102526467E-46
2.93,-2.0596414935173185E-46
2.94,-2.2609380237230974E-46
2.95,-2.4740598091228697E-46
2.96,-2.6993303579694578E-46
2.97,-2.9370731785157722E-46
2.98,-3.187611779014648E-46
2.99,-3.4512696677189638E-46
3,-3.72837035288155E-46
3.0100000000000002,-4.007018213394449E-46
3.02,-4.278571211957925E-46
3.0300000000000002,-4.548233232537316E-46
3.04,-4.821208159097961E-46
3.0500000000000003,-5.1026998756051024E-46
3.06,-5.397912266024139E-46
3.0700000000000003,-5.712049214320488E-46
3.08,-6.050314604459236E-46
3.09,-6.417912320405961E-46
3.1,-6.8200462461258435E-46
3.11,-7.26192026558421E-46
3.12,-7.74873826274648E-46
3.13,-8.285704121577946E-46
3.14,-8.878021726043844E-46
3.15,-9.530894960109696E-46
3.16,-1.0249527707740635E-45
3.17,-1.1039123852902016E-45
3.18,-1.1904887279559278E-45
3.19,-1.2852021871677659E-45
3.2,-1.3885731513222502E-45
3.21,-1.5011220088159127E-45
3.22,-1.623369148045296E-45
3.23,-1.7558349574069287E-45
3.24,-1.899039825297332E-45
3.25,-2.0535041401130325E-45
3.2600000000000002,-2.2197482902505862E-45
3.27,-2.3982926641065258E-45
3.2800000000000002,-2.589657650077358E-45
3.29,-2.7943636365596516E-45
3.3000000000000003,-3.0129310119499014E-45
3.31,-3.245880164644673E-45
3.3200000000000003,-3.4937314830405095E-45
3.33,-3.757005355533868E-45
3.34,-4.036222170521337E-45
3.35,-4.3319023163994756E-45
3.36,-4.64456618156475E-45
3.37,-4.9747341544138246E-45
3.38,-5.322926623343007E-45
3.39,-5.689663976749045E-45
3.4,-6.075466603028287E-45
3.41,-6.48085489057741E-45
3.42,-6.906349227792935E-45
3.43,-7.352470003071322E-45
3.44,-7.819737604809168E-45
3.45,-8.308672421403022E-45
3.46,-8.819794841249308E-45
3.47,-9.353625252744629E-45
3.48,-9.910684044285521E-45
3.49,-1.0491491604268615E-44
3.5,-1.1096568321090167E-44
3.5100000000000002,-1.1658247983064188E-44
3.52,-1.2120498697382126E-44
3.5300000000000002,-1.2501292330757772E-44
3.54,-1.2818600749905E-44
3.5500000000000003,-1.309039582153726E-44
3.56,-1.3334649412368027E-44
3.5700000000000003,-1.3569333389111456E-44
3.58,-1.3812419618480802E-44
3.59,-1.4081879967189957E-44
3.6,-1.4395686301952573E-44
3.61,-1.4771810489482088E-44
3.62,-1.5228224396492395E-44
3.63,-1.5782899889697153E-44
3.64,-1.64538088358101E-44
3.65,-1.725892310154464E-44
3.66,-1.8216214553614517E-44
3.67,-1.9343655058733623E-44
3.68,-2.0659216483615355E-44
3.69,-2.2180870694973394E-44
3.7,-2.3926589559521516E-44
3.71,-2.5914344943973756E-44
3.72,-2.816210871504312E-44
3.73,-3.0687852739443727E-44
3.74,-3.3509548883889027E-44
3.75,-3.6645169015092354E-44
3.7600000000000002,-4.0112684999767937E-44
3.77,-4.393006870462946E-44
3.7800000000000002,-4.811529199639051E-44
3.79,-5.26863267417644E-44
3.8000000000000003,-5.766114480746449E-44
3.81,-6.305771806020594E-44
3.8200000000000003,-6.889401836670114E-44
3.83,-7.518801759366348E-44
3.84,-8.195768760780833E-44
3.85,-8.922100027584749E-44
3.86,-9.6995927464496E-44
3.87,-1.0530044104046584E-43
3.88,-1.1415251287047229E-43
3.89,-1.2357011482122859E-43
3.9,-1.3357121875944816E-43
3.91,-1.4417379655184582E-43
3.92,-1.5539582006513284E-43
3.93,-1.672552611660241E-43
3.94,-1.797700917212355E-43
3.95,-1.9295828359747864E-43
3.96,-2.068378086614629E-43
3.97,-2.2142663877991016E-43
3.98,-2.3674274581952942E-43
3.99,-2.5280410164703464E-43
4,-2.6962867812914108E-43
4.01,-2.817697348763695E-43
4.0200000000000005,-2.845634685674593E-43
4.03,-2.7920225667142853E-43
