% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
1.45,0.008617682603050628,7.203416441300586E-11,6.703676374289911E-11
1.46,0.010692902386913825,1.056972609465897E-10,9.833537055768873E-11
1.47,0.013159869185232487,1.5233560282103786E-10,1.4168881599132822E-10
1.48,0.016107806545966663,2.0967853613293785E-10,1.949882730730422E-10
1.49,0.01951522668206351,3.041387281476035E-10,2.8277112108455483E-10
1.5,0.023557858298552312,4.3035069465716937E-10,4.0005282288253137E-10
1.51,0.02815814429633303,5.842915577400009E-10,5.430961231426354E-10
1.52,0.0335075777324182,8.384375293417433E-10,7.791564169983513E-10
1.53,0.03956350370708228,1.1673927515151702E-9,1.0846672346364437E-9
1.54,0.04641976756269854,1.5657601900213202E-9,1.4546203166495036E-9
1.55,0.05413974455252238,2.229327304671731E-9,2.0706059862772032E-9
1.56,0.06271625180194074,3.065260611675843E-9,2.84652239437548E-9
1.57,0.07226593581974504,4.09795884303359E-9,3.804968567069142E-9
1.58,0.08273353663460048,5.785397808861996E-9,5.370175001376404E-9
1.59,0.09421882462078776,7.894933017772128E-9,7.32663929295574E-9
1.6,0.10668234972542188,1.0569465848553612E-8,9.806196941827081E-9
1.61,0.12013325902944906,1.4834882039726767E-8,1.3755291995253573E-8
1.62,0.13457334352937328,2.0144185005782348E-8,1.866928573686588E-8
1.6300000000000001,0.14997088703872039,2.699884907859071E-8,2.5012791229321147E-8
1.6400000000000001,0.16627811230748366,3.7425234311051444E-8,3.466321931977524E-8
1.6500000000000001,0.1835039056935099,5.027876783801214E-8,4.656012988095533E-8
1.6600000000000001,0.20148377550627064,6.707494385862229E-8,6.21065706566576E-8
1.67,0.22028720306370358,9.164093659867094E-8,8.48457476622014E-8
1.68,0.2397005991951616,1.216547404735142E-7,1.1262794320256361E-7
1.69,0.2597423178099788,1.6128292605033602E-7,1.4932354411956453E-7
1.7,0.28028826048888855,2.1732308868366207E-7,2.0124693371523925E-7
1.71,0.3012004515361153,2.852473251668193E-7,2.641920781040295E-7
