% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
0.88,2.6838676840709794E-15,6.3036687718555585E-25,6.090375035012803E-25
0.89,6.101801690490487E-15,1.2460325598169314E-24,1.203525796400431E-24
0.9,1.3630012368862048E-14,2.67795497684812E-24,2.583917403984429E-24
0.91,2.9764234171643453E-14,7.670554510255647E-24,7.390499744962241E-24
0.92,6.359527486527671E-14,1.4686932622780203E-23,1.4144689618885715E-23
0.93,1.3307820777137631E-13,3.2446854373760325E-23,3.1203905706857884E-23
0.9400000000000001,2.7302434785004224E-13,8.43638516450729E-23,8.100873986067841E-23
0.9500000000000001,5.497919285843396E-13,1.5638608132074392E-22,1.5009126773121594E-22
0.96,1.0894943281870174E-12,3.479387462169903E-22,3.3337598262463207E-22
0.97,2.160252415753268E-12,8.311983498482353E-22,7.952454243034447E-22
0.98,4.198028780646175E-12,1.4931331206501616E-21,1.4277844632096716E-21
0.99,8.00110258343958E-12,3.30281621950494E-21,3.1526428233232637E-21
1,1.496716724498209E-11,7.335832166056117E-21,6.99276925161412E-21
1.01,2.7501480373191054E-11,1.2792726427782787E-20,1.2187832042515582E-20
1.02,4.967653063544338E-11,2.79186880607279E-20,2.655005455976948E-20
1.03,8.828310789273763E-11,5.825322780744308E-20,5.532806057082513E-20
1.04,1.5500397640341656E-10,9.882108730608655E-20,9.380784905631901E-20
1.05,2.6972224400911874E-10,2.118250077121837E-19,2.007110567503063E-19
1.06,4.614372497505365E-10,4.1880204321245683E-19,3.9636944152680507E-19
1.07,7.770146120017726E-10,6.925539715145232E-19,6.551068981274946E-19
1.08,1.2898631954600286E-9,1.4543072678398688E-18,1.3731911156143067E-18
1.09,2.1155888180993696E-9,2.7438574235748636E-18,2.5880595969325844E-18
1.1,3.6114517035347923E-9,4.431655989537359E-18,4.17783998220282E-18
1.11,7.215896585059286E-9,9.103735644704248E-18,8.5674595155273E-18
1.12,1.2718424272018897E-8,1.6485513458262558E-17,1.549944131538521E-17
1.1300000000000001,2.7402988895276735E-8,2.6051614463310006E-17,2.448114038120578E-17
1.1400000000000001,4.9331212873701874E-8,5.23137433272911E-17,4.908129260485155E-17
1.1500000000000001,9.556785748983678E-8,9.13539985819121E-17,8.56365812711692E-17
1.16,1.746464048353459E-7,1.4147342438987724E-16,1.3255844848317215E-16
1.17,3.057254735549857E-7,2.7761495095500693E-16,2.597574152031308E-16
1.18,5.555730285746329E-7,4.693269880484544E-16,4.388267120234654E-16
1.19,8.982629505931038E-7,7.194207057171485E-16,6.723793722274292E-16
1.2,1.6039313692814398E-6,1.3676481066963809E-15,1.276836430502339E-15
1.21,2.564295999651694E-6,2.2456101178026948E-15,2.0953628761695065E-15
1.22,4.26137242912186E-6,3.466077527814908E-15,3.2328949642466168E-15
1.23,6.757125168064368E-6,6.283470825719978E-15,5.85670473173184E-15
1.24,1.054819196767736E-5,1.0047703833467132E-14,9.361869488076249E-15
1.25,1.6515977875202393E-5,1.5537930141630802E-14,1.4473304400936762E-14
1.26,2.4566836457914324E-5,2.703156199305274E-14,2.517066258449746E-14
1.27,3.7818481066230006E-5,4.219361063905716E-14,3.928149847642021E-14
1.28,5.493408708907119E-5,6.512961974109667E-14,6.062695451410823E-14
1.29,8.177362295288641E-5,1.0928285128523051E-13,1.0171904447891907E-13
1.3,1.1753707234883195E-4,1.6683817877877438E-13,1.5528401513440477E-13
1.31,1.6803721094764952E-4,2.5634288787373745E-13,2.385941197941069E-13
1.32,2.383212324674408E-4,4.165395267335837E-13,3.8772855184765095E-13
1.33,3.298351379760993E-4,6.230376292824219E-13,5.799735667395087E-13
1.34,4.604359360033266E-4,9.508776716982225E-13,8.85239480860452E-13
1.35,6.218491570378328E-4,1.5013323144251138E-12,1.3978754254259165E-12
1.36,8.514424429136795E-4,2.2034528174072715E-12,2.0517830876657973E-12
1.37,0.0011364932964606873,3.3351165386875358E-12,3.105819058950965E-12
1.3800000000000001,0.0015126532229876079,5.130832801736395E-12,4.778440447646836E-12
1.3900000000000001,0.001992071634710585,7.398678069496188E-12,6.890860925293613E-12
1.4000000000000001,0.0025896788044003816,1.1092678609192885E-11,1.0330982419542016E-11
1.41,0.0033603321904606288,1.6666852742220625E-11,1.5521354871209467E-11
1.42,0.004282928356335473,2.3640750605787093E-11,2.201482878979691E-11
1.43,0.005470902839274219,3.5077194199831875E-11,3.2657365806264644E-11
1.44,0.0068776016534577685,5.157574638227121E-11,4.800607726727664E-11
