% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
6.9,8.571782218073131E-5,3.2061518489705514E-4,1.836387106052577E-4,1.8588949263653037E-4,1.3266297528260275E-4,3.255856580180693E-4,1.9101536531535197E-4,3.0022436853031937E-5
7,9.093520948212798E-5,3.333606781422774E-4,1.8775056411740777E-4,1.901699658892011E-4,1.3717938719213935E-4,3.3729366314923015E-4,1.9306954873524572E-4,3.1803917568046324E-5
7.1000000000000005,9.61950612205701E-5,3.4589914680804043E-4,1.9234144592982113E-4,1.949247988258481E-4,1.4165332102641928E-4,3.4869743987591415E-4,1.9547163058888234E-4,3.366246554191974E-5
7.2,1.0146547547914581E-4,3.5808055396770514E-4,1.974268952733056E-4,2.0016272161486502E-4,1.4606926258995277E-4,3.5966581019080936E-4,1.9829595149653106E-4,3.5598947414361265E-5
7.300000000000001,1.0671215394883283E-4,3.6961266836618137E-4,2.0301578973096738E-4,2.0588592991316977E-4,1.5041193854207891E-4,3.7011566735844554E-4,2.0160518707589933E-4,3.761388634763269E-5
7.4,1.1189915015597039E-4,3.8027812218474903E-4,2.0912133489792457E-4,2.1209915306106395E-4,1.5466656656717043E-4,3.79983727959329E-4,2.0545258011383537E-4,3.970746736580122E-5
7.5,1.1698965533434727E-4,3.8996571618329126E-4,2.1575749781604746E-4,2.1880326871690463E-4,1.5881821405407616E-4,3.892440020118813E-4,2.0987732110394494E-4,4.187955272775342E-5
7.6000000000000005,1.2194702817430028E-4,3.985762755060179E-4,2.2292907512603063E-4,2.259891040974812E-4,1.6285376432556518E-4,3.979125851156065E-4,2.1490234563630443E-4,4.4129677053180295E-5
7.7,1.267343030868208E-4,4.059844859864469E-4,2.3063161350780835E-4,2.3364939613995694E-4,1.6675962747462233E-4,4.060053845506712E-4,2.2054458156232272E-4,4.645707776152947E-5
7.800000000000001,1.313149271423933E-4,4.120986190492588E-4,2.388675162684771E-4,2.4175893032863855E-4,1.7052332015657292E-4,4.1358788825274494E-4,2.2680609754500403E-4,4.88604446321572E-5
7.9,1.3565564719343693E-4,4.1687389743339117E-4,2.475976375304517E-4,2.5027949869286647E-4,1.7413366002751144E-4,4.2075354040842895E-4,2.3367748347879677E-4,5.1337960172528623E-5
8,1.3972176384276892E-4,4.2023070247627675E-4,2.5680398409693643E-4,2.591907070834224E-4,1.775806051591675E-4,4.27612908244563E-4,2.411440094453407E-4,5.388721248662032E-5
8.1,1.4348964975460131E-4,4.2215324172923866E-4,2.6646482012440177E-4,2.6847014565572607E-4,1.8085541053990044E-4,4.342499952251317E-4,2.4919091120566685E-4,5.6505957872772123E-5
8.200000000000001,1.4693759849509732E-4,4.228275766559934E-4,2.7654817731928783E-4,2.780733469727978E-4,1.8395067393973271E-4,4.407497074114846E-4,2.578052449521184E-4,5.919114099090272E-5
8.3,1.5004779913169048E-4,4.229137535441052E-4,2.8694191024114063E-4,2.878784757608787E-4,1.8686031642058722E-4,4.4738683121902685E-4,2.6694885544533976E-4,6.19391440629164E-5
8.4,1.5280737082653861E-4,4.24043595433373E-4,2.9750407928206326E-4,2.977534246483639E-4,1.8957972961841036E-4,4.5435732717967464E-4,2.7655486961670924E-4,6.474584795891758E-5
8.5,1.5521006772216848E-4,4.2933374441928154E-4,3.0815711142494965E-4,3.076409800012195E-4,1.9210583482856053E-4,4.6173716013657787E-4,2.8656897853797126E-4,6.760665200731564E-5
