% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 28 2026, 10:06"
% Table,Table 35 - c_CNN_Sensor_Phase_1
% Time (s),c_CNN_Sensor_Phase_1 (mol/m^3),c_CNN_Sensor_Phase_1 (mol/m^3)
76,0.9983467193768084,0.999855435641731
76.5,0.9984083079039816,0.9998598698583591
77,0.9984698964311445,0.9998643040749936
77.5,0.9985314849583143,0.9998687382916388
78,0.9985930734854835,0.9998731725082642
78.5,0.9986546620126516,0.999877606724895
79,0.9987162505398192,0.9998820409415379
79.5,0.9987778390669861,0.9998864751581538
80,0.998839427594152,0.9998909093747997
80.5,0.9989010161213184,0.9998909093747997
81,0.9989580520743991,0.9998909093747997
81.5,0.9989843880176573,0.9998909093747997
82,0.9990107239609093,0.9998909093747997
82.5,0.9990370599041554,0.9998909093747997
83,0.9990633958474138,0.9998909093747997
83.5,0.999089731790658,0.9998909093747997
84,0.9991160677339156,0.9998909093747997
84.5,0.9991424036771682,0.9998909093747997
85,0.9991687396204262,0.9998909093747997
85.5,0.999195075563672,0.9998909093747997
86,0.999221411506932,0.9998909093747997
86.5,0.9992477474501796,0.9998909093747997
87,0.9992740833934347,0.9998909093747997
87.5,0.9993004193366851,0.9998909093747997
88,0.9993267552799412,0.9998909093747997
88.5,0.999353091223184,0.9998909093747997
89,0.9993794271664453,0.9998909093747997
89.5,0.9994057631096965,0.9998909093747997
90,0.9994320990529474,0.9998909093747997
90.5,0.999458434996205,0.9998909093747997
91,0.9994829620491638,0.9998909093747997
91.5,0.9994952909590619,0.9998909093747997
92,0.9995076198689594,0.9998909093747997
92.5,0.9995199487788616,0.9998909093747997
93,0.9995322776887613,0.9998909093747997
93.5,0.9995446065986748,0.9998909093747997
94,0.9995569355085725,0.9998909093747997
94.5,0.9995692644184792,0.9998909093747997
95,0.9995815933283847,0.9998909093747997
95.5,0.9995939222382797,0.9998909093747997
96,0.9996062511481777,0.9998909093747997
96.5,0.9996185800580876,0.9998909093747997
97,0.9996309089679896,0.9998909093747997
97.5,0.9996432378778867,0.9998909093747997
98,0.9996555667877948,0.9998909093747997
98.5,0.9996678956976957,0.9998909093747997
99,0.9996802246076012,0.9998909093747997
99.5,0.9996925535175055,0.9998909093747997
100,0.9997048824274037,0.9998909093747997
