% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 21 2026, 16:01"
% Table,Table 1 - c_Sensor
% Time (s),c_CNN (mol/m^3)
3.33,-6.717755919721079E-61
3.34,-7.52271253448217E-61
3.35,-8.383940296837656E-61
3.36,-9.301439206787218E-61
3.37,-1.0275209264331245E-60
3.38,-1.1305250469469393E-60
3.39,-1.239156282220198E-60
3.4,-1.353414632252884E-60
3.41,-1.473300097045003E-60
3.42,-1.5988126765965333E-60
3.43,-1.7555866376063624E-60
3.44,-1.9851128652107034E-60
3.45,-2.2335994334802187E-60
3.46,-2.5010463424147643E-60
3.47,-2.7874535920144485E-60
3.48,-3.092821182279209E-60
3.49,-3.4171491132091046E-60
3.5,-3.7604373848040704E-60
3.5100000000000002,-4.122685997064183E-60
3.52,-4.5038949499894926E-60
3.5300000000000002,-4.9040642435797334E-60
3.54,-5.32319387783515E-60
3.5500000000000003,-5.761513405251503E-60
3.56,-6.516441592497E-60
3.5700000000000003,-7.335104306742184E-60
3.58,-8.217501547986694E-60
3.59,-9.163633316230805E-60
3.6,-1.0173499611474237E-59
3.61,-1.124710043371711E-59
3.62,-1.2384435782959417E-59
3.63,-1.3585505659201114E-59
3.64,-1.4850310062442253E-59
3.65,-1.617884899268278E-59
3.66,-1.7571122449923507E-59
3.67,-1.9027130434162563E-59
3.68,-2.1228239827470643E-59
3.69,-2.391732246870555E-59
3.7,-2.6820587271361504E-59
3.71,-2.993803423543753E-59
3.72,-3.3269663360934686E-59
3.73,-3.681547464785318E-59
3.74,-4.057546809619102E-59
3.75,-4.454964370594999E-59
3.7600000000000002,-4.873800147712969E-59
3.77,-5.314054140972851E-59
3.7800000000000002,-5.775726350374948E-59
3.79,-6.2588167759190385E-59
3.8000000000000003,-6.889241974944093E-59
3.81,-7.771076234213247E-59
3.8200000000000003,-8.72485033821583E-59
3.83,-9.750564286951514E-59
3.84,-1.084821808042053E-58
3.85,-1.2017811718623071E-58
3.86,-1.3259345201558597E-58
3.87,-1.4572818529228135E-58
3.88,-1.5958231701630427E-58
3.89,-1.7415584718765963E-58
3.9,-1.894487758063493E-58
3.91,-2.054611028723731E-58
3.92,-2.2312055497063947E-58
3.93,-2.5197841490349335E-58
3.94,-2.8324793308304824E-58
3.95,-3.169291095092866E-58
3.96,-3.530219441822159E-58
3.97,-3.915264371018434E-58
3.98,-4.324425882681594E-58
3.99,-4.757703976811815E-58
4,-5.215098653408795E-58
4.01,-5.696609912472986E-58
4.0200000000000005,-6.2022377540038875E-58
4.03,-6.731982178001769E-58
4.04,-7.285843184466588E-58
4.05,-8.153568103788088E-58
4.0600000000000005,-9.17543191253272E-58
4.07,-1.0277860151178963E-57
4.08,-1.1460852819727396E-57
4.09,-1.2724409918177264E-57
4.1,-1.4068531446528943E-57
4.11,-1.549321740478235E-57
4.12,-1.699846779293756E-57
4.13,-1.8584282610994517E-57
4.14,-2.0250661858953216E-57
4.15,-2.1997605536813886E-57
4.16,-2.3825113644576716E-57
4.17,-2.6278010435439843E-57
4.18,-2.9532496864742294E-57
4.19,-3.304502906805889E-57
4.2,-3.6815607045388994E-57
4.21,-4.084423079673279E-57
4.22,-4.513090032209199E-57
4.23,-4.967561562146388E-57
4.24,-5.447837669484835E-57
4.25,-5.953918354224736E-57
4.26,-6.485803616366074E-57
4.2700000000000005,-7.04349345590868E-57
4.28,-7.62698787285272E-57
4.29,-8.298019069927752E-57
4.3,-9.316673558384942E-57
4.3100000000000005,-1.0417304417472887E-56
4.32,-1.159991164719172E-56
4.33,-1.2864495247541635E-56
4.34,-1.4211055218522742E-56
4.3500000000000005,-1.563959156013479E-56
4.36,-1.7150104272378046E-56
4.37,-1.8742593355253346E-56
4.38,-2.0417058808758326E-56
4.39,-2.217350063289472E-56
4.4,-2.4011918827661952E-56
4.41,-2.5932313393060518E-56
4.42,-2.89649472859298E-56
4.43,-3.2398653779103505E-56
4.44,-3.609367595131243E-56
4.45,-4.0050013802552414E-56
4.46,-4.426766733282549E-56
4.47,-4.8746636542131385E-56
4.48,-5.348692143047095E-56
4.49,-5.848852199784278E-56
4.5,-6.375143824424822E-56
4.51,-6.927567016968637E-56
4.5200000000000005,-7.506121777416091E-56
4.53,-8.110808105766604E-56
4.54,-8.950586835116525E-56
4.55,-1.0020324636920812E-55
4.5600000000000005,-1.1173367400565248E-55
4.57,-1.240971512604975E-55
4.58,-1.3729367813374077E-55
4.59,-1.513232546253941E-55
4.6000000000000005,-1.6618588073544006E-55
4.61,-1.8188155646388454E-55
4.62,-1.984102818107358E-55
4.63,-2.1577205677598227E-55
4.64,-2.339668813596294E-55
4.65,-2.5299475556167806E-55
4.66,-2.758781674988198E-55
4.67,-3.0918372909119464E-55
4.68,-3.4514592614546916E-55
4.69,-3.8376475866165815E-55
4.7,-4.2504022663974836E-55
4.71,-4.689723300797511E-55
4.72,-5.155610689816618E-55
4.73,-5.648064433454907E-55
4.74,-6.1670845317124425E-55
4.75,-6.712670984588896E-55
4.76,-7.284823792084452E-55
4.7700000000000005,-7.883542954199105E-55
4.78,-8.508828470932774E-55
4.79,-9.535467003002129E-55
4.8,-1.0662136153256933E-54
4.8100000000000005,-1.1874261393252416E-54
4.82,-1.3171842722987026E-54
4.83,-1.4554880142461738E-54
4.84,-1.6023373651676225E-54
4.8500000000000005,-1.757732325063131E-54
4.86,-1.9216728939325822E-54
4.87,-2.0941590717760087E-54
4.88,-2.275190858593484E-54
4.89,-2.4647682543850115E-54
4.9,-2.6628912591505006E-54
4.91,-2.951240529382278E-54
4.92,-3.3069766953082526E-54
4.93,-3.690488086010076E-54
4.94,-4.1017747014877526E-54
4.95,-4.5408365417412295E-54
4.96,-5.007673606770668E-54
4.97,-5.50228589657595E-54
4.98,-6.024673411156952E-54
4.99,-6.574836150513792E-54
5,-7.15277411464652E-54
5.01,-7.758487303554993E-54
5.0200000000000005,-8.391975717239419E-54
5.03,-9.193726324508501E-54
5.04,-1.0325248291672E-53
5.05,-1.1547726127049142E-53
5.0600000000000005,-1.2861159830640253E-53
5.07,-1.426554940244479E-53
5.08,-1.5760894842462889E-53
5.09,-1.7347196150694798E-53
5.1000000000000005,-1.902445332714125E-53
5.11,-2.0792666371800479E-53
5.12,-2.2651835284673232E-53
5.13,-2.460196006575953E-53
5.14,-2.66430407150596E-53
5.15,-2.883603665715005E-53
5.16,-3.245765657232964E-53
5.17,-3.6379003283376826E-53
5.18,-4.060007679029341E-53
5.19,-4.512087709307682E-53
5.2,-4.99414041917271E-53
5.21,-5.506165808624582E-53
5.22,-6.048163877663143E-53
5.23,-6.620134626288549E-53
5.24,-7.222078054500681E-53
5.25,-7.853994162299944E-53
5.26,-8.515882949685574E-53
5.2700000000000005,-9.20774441665816E-53
5.28,-1.026629776680674E-52
5.29,-1.1531729310329587E-52
5.3,-1.2896587132274419E-52
5.3100000000000005,-1.4360871232641993E-52
5.32,-1.5924581611432146E-52
5.33,-1.758771826864398E-52
5.34,-1.935028120427853E-52
5.3500000000000005,-2.121227041833533E-52
5.36,-2.3173685910814102E-52
5.37,-2.5234527681715565E-52
5.38,-2.739479573103901E-52
5.39,-2.9654490058785677E-52
5.4,-3.2664662739456223E-52
5.41,-3.677356036099336E-52
5.42,-4.121461971165865E-52
5.43,-4.598784079145102E-52
5.44,-5.109322360037103E-52
5.45,-5.6530768138418314E-52
5.46,-6.2300474405595436E-52
5.47,-6.840234240189702E-52
5.48,-7.483637212732848E-52
5.49,-8.160256358188512E-52
5.5,-8.870091676556998E-52
5.51,-9.613143167838214E-52
5.5200000000000005,-1.0455347177112528E-51
5.53,-1.1798117093260152E-51
5.54,-1.3252678027794762E-51
5.55,-1.481902998071659E-51
5.5600000000000005,-1.6497172952025772E-51
5.57,-1.8287106941722035E-51
5.58,-2.0188831949805722E-51
5.59,-2.2202347976276628E-51
5.6000000000000005,-2.4327655021135886E-51
5.61,-2.6564753084380925E-51
5.62,-2.8913642166013876E-51
5.63,-3.137432226603364E-51
5.64,-3.394679338444099E-51
5.65,-3.8089889452777816E-51
5.66,-4.288662440451263E-51
5.67,-4.806251887407539E-51
5.68,-5.361757286146289E-51
5.69,-5.955178636667716E-51
5.7,-6.586515938971821E-51
5.71,-7.255769193058502E-51
5.72,-7.962938398927823E-51
5.73,-8.708023556579848E-51
5.74,-9.491024666014826E-51
5.75,-1.0311941727232186E-50
5.76,-1.1170774740231784E-50
5.7700000000000005,-1.237749347030467E-50
5.78,-1.3970716458475185E-50
5.79,-1.5693592634016687E-50
5.8,-1.7546121996928825E-50
5.8100000000000005,-1.9528304547212867E-50
5.82,-2.1640140284866965E-50
5.83,-2.388162920989157E-50
5.84,-2.6252771322287776E-50
5.8500000000000005,-2.875356662205437E-50
5.86,-3.1384015109192237E-50
5.87,-3.414411678370067E-50
5.88,-3.703387164558116E-50
5.89,-4.0495987132683765E-50
5.9,-4.582830245758598E-50
5.91,-5.160785257232762E-50
5.92,-5.783463747690779E-50
5.93,-6.4508657171327045E-50
5.94,-7.1629911655586315E-50
5.95,-7.919840092968681E-50
5.96,-8.721412499362284E-50
5.97,-9.56770838473985E-50
5.98,-1.04587277491014E-49
5.99,-1.1394470592446692E-49
6,-1.2374936914775948E-49
6.01,-1.340012671608931E-49
6.0200000000000005,-1.5144120848025987E-49
6.03,-1.7099180862907572E-49
6.04,-1.920997720321726E-49
6.05,-2.147650986895611E-49
6.0600000000000005,-2.389877886012341E-49
6.07,-2.647678417671899E-49
6.08,-2.921052581874387E-49
6.09,-3.21000037861974E-49
6.1000000000000005,-3.5145218079079965E-49
6.11,-3.8346168697390915E-49
6.12,-4.1702855641128925E-49
6.13,-4.52152789102968E-49
6.140000000000001,-5.043956253008804E-49
6.15,-5.7113058575546285E-49
6.16,-6.433445294842633E-49
6.17,-7.210374564872602E-49
6.18,-8.042093667644274E-49
6.19,-8.928602603158225E-49
6.2,-9.86990137141396E-49
6.21,-1.0865989972411747E-48
6.22,-1.1916868406151766E-48
6.23,-1.3022536672633438E-48
6.24,-1.418299477185717E-48
6.25,-1.5398242703822996E-48
6.26,-1.6942401078873183E-48
6.2700000000000005,-1.9242685645579882E-48
6.28,-2.1737866300050247E-48
6.29,-2.4427943042285757E-48
6.3,-2.731291587228436E-48
6.3100000000000005,-3.039278479004714E-48
6.32,-3.366754979557371E-48
6.33,-3.7137210888864475E-48
6.34,-4.080176806991907E-48
6.3500000000000005,-4.466122133873811E-48
6.36,-4.871557069532238E-48
6.37,-5.296481613966892E-48
6.38,-5.74279308430981E-48
6.390000000000001,-6.543897267873488E-48
6.4,-7.415135850708138E-48
6.41,-8.356508832813777E-48
6.42,-9.368016214190795E-48
6.43,-1.0449657994838714E-47
6.44,-1.1601434174757685E-47
6.45,-1.2823344753947552E-47
6.46,-1.411538973240868E-47
6.47,-1.5477569110140833E-47
6.48,-1.6909882887143827E-47
6.49,-1.8412331063418151E-47
6.5,-1.9984913638964145E-47
6.51,-2.247304531524415E-47
6.5200000000000005,-2.5547848056848074E-47
6.53,-2.8877983239715424E-47
6.54,-3.2463450863846406E-47
6.55,-3.630425092924133E-47
6.5600000000000005,-4.040038343590112E-47
6.57,-4.47518483838233E-47
6.58,-4.935864577300957E-47
6.59,-5.4220775603459E-47
6.6000000000000005,-5.93382378751735E-47
6.61,-6.471103258815004E-47
6.62,-7.033915974239078E-47
6.63,-7.795211133948704E-47
6.640000000000001,-8.891642372372897E-47
6.65,-1.008205485116267E-46
6.66,-1.1366448570318105E-46
6.67,-1.274482352983934E-46
6.68,-1.4217179729726275E-46
6.69,-1.5783517169979589E-46
6.7,-1.7443835850598299E-46
6.71,-1.9198135771582753E-46
6.72,-2.1046416932932766E-46
6.73,-2.298867933464898E-46
6.74,-2.502492297673077E-46
6.75,-2.6765145359330364E-35
6.76,-3.3751823598811177E-34
6.7700000000000005,-6.9433756707501804E-34
6.78,-1.0972231386199672E-33
6.79,-1.5461749506230072E-33
6.8,-2.0411930030841103E-33
6.8100000000000005,-2.5822772960033772E-33
6.82,-3.169427829380602E-33
6.83,-3.8026446032159414E-33
6.84,-4.48192761750945E-33
6.8500000000000005,-5.2072768722610127E-33
6.86,-5.978692367470594E-33
6.87,-6.796174103138286E-33
6.88,-7.659722079264045E-33
6.890000000000001,-8.569336295847943E-33
6.9,-9.525016752889896E-33
6.91,-1.0526763450389917E-32
6.92,-1.1574576388347995E-32
6.93,-1.266845556676426E-32
6.94,-1.380840098563833E-32
6.95,-1.4994412644971115E-32
6.96,-1.6226490544761457E-32
6.97,-1.750463468500976E-32
6.98,-1.8828845065716573E-32
6.99,-2.019912168688115E-32
7,-2.2119465621186437E-32
7.01,-2.4681459469272E-32
7.0200000000000005,-2.737225974678619E-32
7.03,-3.0191866453728826E-32
7.04,-3.3140279590099333E-32
7.05,-3.621749915589847E-32
7.0600000000000005,-3.9423525151126443E-32
7.07,-4.2758357575781895E-32
7.08,-4.62219964298661E-32
7.09,-4.981444171337844E-32
7.1000000000000005,-5.353569342631972E-32
7.11,-5.73857515686886E-32
7.12,-6.136461614048592E-32
7.13,-6.547228714171185E-32
7.140000000000001,-6.970876457236627E-32
7.15,-7.407404843244905E-32
7.16,-7.856813872195925E-32
7.17,-8.319103544089838E-32
7.18,-8.794273858926562E-32
7.19,-9.282324816706133E-32
7.2,-9.783256417428569E-32
7.21,-1.0297068661093783E-31
7.22,-1.093914900623587E-31
