% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 17 2026, 11:12"
% Table,Table_c_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Phase_2 (mol/m^3)
2.11,0.008881970489245774,0.4365176639042512
2.12,0.009667436641548396,0.44144538721523896
2.13,0.010525295854984473,0.4463699622413719
2.14,0.0114380190555968,0.4512921113007118
2.15,0.012405606243385558,0.4562118343932558
2.16,0.013428057418350604,0.4611274846152264
2.17,0.014519158292274936,0.46603956139076086
2.18,0.01568438072833986,0.4709482715056453
2.19,0.016914518920453828,0.4758521637148756
2.2,0.018209572868617237,0.4807508689450049
2.21,0.019570801902633835,0.4856450153846917
2.22,0.021020912960011694,0.49053354658429044
2.23,0.022544937694641574,0.49541495696247967
2.24,0.02414287610652307,0.5002903715316537
2.25,0.02581472819565645,0.5051592643853655
2.2600000000000002,0.027570914015319803,0.5100187248724437
2.27,0.029414250423769436,0.514870460570581
2.2800000000000002,0.03133862680383013,0.5197144714797762
2.29,0.03334404315550066,0.5245465358913948
2.3000000000000003,0.03543147896778571,0.529368593489547
2.31,0.03761189310262859,0.5341808047359001
2.32,0.03987790239464464,0.5389794052429042
2.33,0.042229506843833996,0.5437644757752129
2.34,0.04466670645019672,0.5485370767559875
2.35,0.04719186108027765,0.5532942748720884
2.36,0.04980534141085535,0.5580337070170728
2.37,0.05250593550155541,0.5627575201129428
2.38,0.055293643352379386,0.5674640131304077
2.39,0.058167970088948494,0.5721481099302935
2.4,0.061125030185821126,0.5768130355264736
2.41,0.06416750428430426,0.5814584986802561
2.42,0.0672953923843978,0.5860769708599894
2.43,0.07050869448609963,0.5906725176463566
2.44,0.0737995780547729,0.5952451390393529
2.45,0.07716761117695493,0.5997885942727768
2.46,0.08061630206688514,0.6043043450577684
2.47,0.08414565072456233,0.6087934148884101
2.48,0.0877529396220695,0.6132516774290874
2.49,0.09142220215436409,0.6176775538840579
2.5,0.09516474404154239,0.6220731188757848
2.5100000000000002,0.09898056528360569,0.6264360808399239
2.52,0.10286966588055024,0.6307624398221144
2.5300000000000002,0.10681585126028278,0.6350550288738603
2.54,0.11081972211814077,0.6393130740069407
2.5500000000000003,0.11488756864571244,0.6435308435255559
2.56,0.11901939084300167,0.647711615600574
2.57,0.12321053269222071,0.6518553902319866
2.58,0.12743972340097795,0.6559566566861074
2.59,0.1317224624168104,0.6600176386968603
2.6,0.1360587497397211,0.6640387190035386
2.61,0.140448585369706,0.6680165685282802
2.62,0.14487228852863968,0.6719509374136047
2.63,0.14933223984287652,0.675842940084858
2.64,0.15383501762212778,0.6796910284165678
2.65,0.15838062186638682,0.6834936348761952
2.66,0.16296366548457528,0.6872520651684493
2.67,0.16756454033496923,0.6909658961960765
2.68,0.172197995704336,0.6946335548572689
2.69,0.17686403159267464,0.6982560080771316
2.7,0.18156264799998542,0.7018332525559559
2.71,0.1862760469547251,0.7053649050194529
2.72,0.19100774466457549,0.7088511685055079
2.73,0.19576280850531247,0.7122920430141015
2.74,0.20054123847693342,0.7156884171092326
2.75,0.20533830741836107,0.7190401495814993
2.7600000000000002,0.21014008931592776,0.7223470575794205
2.77,0.21495743782593163,0.725610362505796
