% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
1.1400000000000001,0.10453866317055291,0.06464863905363279
1.1500000000000001,0.1104550302913783,0.06828594352229432
1.16,0.11652101212279015,0.07200613596442354
1.17,0.12270112266349373,0.07579485768036237
1.18,0.129012922855579,0.07966243103121919
1.19,0.1354578201180628,0.08360885601699344
1.2,0.14202242525946948,0.08763260163451757
1.21,0.1486868231525395,0.09170768821556201
1.22,0.15546682648010307,0.09585064272138266
1.23,0.16236243524215546,0.10006146515197974
1.24,0.16934167873095682,0.10434015550735302
1.25,0.17641352973048224,0.10866258297723273
1.26,0.18358328504485127,0.11304049238676377
1.27,0.1908423201021621,0.1174758004204591
1.28,0.19816365569817726,0.12196850707831383
1.29,0.20556549161310816,0.12650150908145458
1.3,0.21304782784695694,0.13107822154945165
1.31,0.22058553780607,0.13570309125928592
1.32,0.22817834173150475,0.14037611821095852
1.33,0.2358346725206654,0.14508589801359675
1.34,0.2435505416773955,0.1498297497711972
1.35,0.25129416777510843,0.15461373262003847
1.36,0.2590848444864582,0.1594378465601213
1.37,0.2669225718114553,0.1642948454738454
1.3800000000000001,0.2747885017099725,0.16917767289514105
1.3900000000000001,0.2826744736176327,0.17409349548237152
1.4000000000000001,0.29059140029374586,0.17904231323554284
1.41,0.2985392019648305,0.18402019728793162
1.42,0.30648183858897654,0.18901726888458928
1.43,0.314439586833768,0.19404114202328654
1.44,0.3224124466992154,0.19909181670401896
1.45,0.33038687777747616,0.2041678774720471
1.46,0.3383480045585144,0.20925834951281735
1.47,0.3463088222230664,0.21437052419648547
1.48,0.35426933077112677,0.21950440152305786
1.49,0.3622006149794393,0.22465998149253402
1.5,0.37011348260007143,0.22982642186061059
1.51,0.3780111448190145,0.2350099844092758
1.52,0.3858851226303485,0.2402109070228229
1.53,0.3937158327209284,0.24542918970124367
1.54,0.40151724278707807,0.2506564476183537
1.55,0.409289352828799,0.2558954439092561
1.56,0.4170112905494027,0.26114767515603415
1.57,0.42468550802487165,0.2664131413586725
1.58,0.4323174511036542,0.27168542933856565
1.59,0.43990310926846743,0.2769643234483671
1.6,0.4474215645492506,0.2822524263960644
1.61,0.45488600247592126,0.28754973818165575
1.62,0.4622964230484607,0.29285164948295983
1.6300000000000001,0.46963945703651044,0.2981553096641297
1.6400000000000001,0.47691185028900346,0.30346426424170747
1.6500000000000001,0.4841198848723429,0.3087785132157063
1.6600000000000001,0.4912627229933802,0.31409499422887127
1.67,0.498322049922314,0.3194084345564378
1.68,0.5053084613068296,0.3247232756356038
1.69,0.5122219571469214,0.3300395174663661
1.7,0.5190560470160561,0.3353554758155017
1.71,0.5258055984688638,0.340663402716122
1.72,0.5324757001623805,0.3459687188237519
1.73,0.5390663520966101,0.3512714241383923
1.74,0.5455680810823397,0.35657119497503514
1.75,0.5519852139065378,0.3618577642239492
1.76,0.5583183396983123,0.3671375489316835
1.77,0.5645655146192959,0.37241054909824306
1.78,0.570723390354355,0.3776767647236283
1.79,0.5767945221615829,0.3829266332047674
1.8,0.5827789100410043,0.3881643707893468
1.81,0.5886747839533185,0.3933910135783752
1.82,0.594482550590285,0.39860656157185825
1.83,0.6002025558894615,0.4038031606460474
1.84,0.6058350245876717,0.40898185406602466
1.85,0.6113807816812292,0.4141450126194889
1.86,0.6168392840499948,0.4192926363064389
1.87,0.6222105316939869,0.42441868627577817
1.8800000000000001,0.6274970849549979,0.4295210971689934
1.8900000000000001,0.6326991553619642,0.4346034787570986
1.9000000000000001,0.6378157776140987,0.4396658310400918
1.9100000000000001,0.6428474895640427,0.4447039877456179
1.92,0.6477998546711745,0.4497130638996537
1.93,0.6526695524642528,0.45469769122559506
1.94,0.6574565829432738,0.4596578697234366
1.95,0.6621648702520994,0.4645897397908391
1.96,0.6667965369969326,0.4694816954072252
1.97,0.671349067990132,0.47434238465224715
1.98,0.6758224632317088,0.4791718075258888
1.99,0.6802255999302497,0.48396996402816045
2,0.6845537629646192,0.4887368541590512
2.0100000000000002,0.6888067909325659,0.4934724779185733
2.02,0.6929882224689738,0.49817683530671836
2.0300000000000002,0.6971025894722709,0.5028499263234936
2.04,0.7011461288141861,0.507476192094144
2.05,0.7051188404947253,0.5120668154742618
