% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:48"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
83.71000000000001,0.9971505115621027
83.72,0.9971505115621027
83.73,0.9971505115621027
83.74,0.9971505115621027
83.75,0.9971505115621027
83.76,0.9971505115621027
83.77,0.9971505115621027
83.78,0.9971505115621027
83.79,0.9971505115621027
83.8,0.9971505115621027
83.81,0.9971505115621027
83.82000000000001,0.9971505115621027
83.83,0.9971505115621027
83.84,0.9971505115621027
83.85000000000001,0.9971505115621027
83.86,0.9971505115621027
83.87,0.9971505115621027
83.88,0.9971505115621027
83.89,0.9971505115621027
83.9,0.9971505115621027
83.91,0.9971505115621027
83.92,0.9971505115621027
83.93,0.9971505115621027
83.94,0.9971505115621027
83.95,0.9971505115621027
83.96000000000001,0.9971505115621027
83.97,0.9971505115621027
83.98,0.9971505115621027
83.99,0.9971505115621027
84,0.9971505115621027
84.01,0.9971505115621027
84.02,0.9971505115621027
84.03,0.9971505115621027
84.04,0.9971505115621027
84.05,0.9971505115621027
84.06,0.9971505115621027
84.07000000000001,0.9971505115621027
84.08,0.9971505115621027
84.09,0.9971505115621027
84.10000000000001,0.9971505115621027
84.11,0.9971505115621027
84.12,0.9971505115621027
84.13,0.9971505115621027
84.14,0.9971505115621027
84.15,0.9971505115621027
84.16,0.9971505115621027
84.17,0.9971505115621027
84.18,0.9971505115621027
84.19,0.9971505115621027
84.2,0.9971505115621027
84.21000000000001,0.9971505115621027
84.22,0.9971505115621027
84.23,0.9971505115621027
84.24,0.9971505115621027
84.25,0.9971505115621027
84.26,0.9971505115621027
84.27,0.9971505115621027
84.28,0.9971505115621027
84.29,0.9971505115621027
84.3,0.9971505115621027
84.31,0.9971505115621027
84.32000000000001,0.9971505115621027
84.33,0.9971505115621027
84.34,0.9971505115621027
84.35000000000001,0.9971505115621027
84.36,0.9971505115621027
84.37,0.9971505115621027
84.38,0.9971505115621027
