% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.0021200000000000004,-2.4881115121920612E-39
0.0021300000000000004,-3.5366277628033576E-39
0.00214,-4.7301973213733456E-39
0.00215,-5.28500436650853E-39
0.00216,-5.5396508517909234E-39
0.00217,-5.703839459566755E-39
0.00218,-5.7775701898360235E-39
0.00219,-5.76084304259873E-39
0.0022,-5.6536580178548745E-39
0.00221,-5.456015115604456E-39
0.00222,-5.167914335847474E-39
0.00223,-4.2952030239565686E-39
0.0022400000000000002,-3.1343298362498874E-39
0.0022500000000000003,-1.7528780044062598E-39
0.0022600000000000003,-1.5084752842568117E-40
0.0022700000000000003,1.6717615916918442E-39
0.0022800000000000003,3.714949355946318E-39
0.0022900000000000004,5.978715764337741E-39
0.0023000000000000004,8.46306081686611E-39
0.00231,9.793277168290475E-39
0.00232,1.0978070553858054E-38
0.00233,1.2062012166447264E-38
0.00234,1.304510200605811E-38
0.00235,1.3927340072690594E-38
0.00236,1.470872636634471E-38
0.00237,1.5389260887020462E-38
0.00238,1.5898957385684266E-38
0.00239,1.512293196291148E-38
0.0024000000000000002,1.396806147708281E-38
0.0024100000000000002,1.243434592819825E-38
0.0024200000000000003,1.052178531625781E-38
0.0024300000000000003,8.230379641261483E-39
0.0024400000000000003,5.560128903209269E-39
0.0024500000000000004,2.5110331021011685E-39
0.0024600000000000004,-7.285216091712797E-40
0.0024700000000000004,-3.202343569385961E-39
0.00248,-5.7660182259938767E-39
0.00249,-8.419545578995249E-39
0.0025,-1.1162925628389972E-38
0.00251,-1.3996158374178046E-38
0.00252,-1.6919243816359465E-38
0.00253,-1.993218195493423E-38
0.00254,-2.2601635713040256E-38
0.00255,-2.387147142053869E-38
0.00256,-2.4823000694988787E-38
0.0025700000000000002,-2.545622353639055E-38
0.0025800000000000003,-2.5771139944743994E-38
0.0025900000000000003,-2.5767749920049104E-38
0.0026000000000000003,-2.544605346230587E-38
0.0026100000000000003,-2.480605057151431E-38
0.0026200000000000004,-2.384774124767442E-38
0.0026300000000000004,-2.257112549078619E-38
0.0026400000000000004,-2.0976203300849635E-38
0.00265,-1.9062974677864836E-38
0.00266,-1.6831439621831628E-38
0.00267,-1.4281598132750097E-38
0.00268,-1.141345021062022E-38
0.00269,-8.226995855442016E-39
0.0027,-5.818997887935438E-39
0.00271,-4.610285362226899E-39
0.00272,-3.3783857166741395E-39
0.0027300000000000002,-2.1232989512771588E-39
0.0027400000000000002,-8.45025066035958E-40
0.0027500000000000003,4.564359390494665E-40
0.0027600000000000003,1.7810840639791106E-39
0.0027700000000000003,3.1289193087529786E-39
0.0027800000000000004,4.4999416733710655E-39
0.0027900000000000004,5.894151157833373E-39
0.0028000000000000004,7.311547762139903E-39
0.0028100000000000004,8.752131486290654E-39
0.00282,1.0215902330285563E-38
0.00283,1.1702860294124758E-38
0.00284,1.2574966879940357E-38
0.00285,1.2803935154283372E-38
0.00286,1.2893028918431787E-38
0.00287,1.2842248172385596E-38
0.00288,1.2651592916144797E-38
0.00289,1.2321063149709403E-38
0.0029000000000000002,1.18506588730794E-38
0.0029100000000000003,1.1240380086254788E-38
0.0029200000000000003,1.0490226789235582E-38
0.0029300000000000003,9.600198982021767E-39
0.0029400000000000003,8.570296664613348E-39
0.0029500000000000004,7.400519837010325E-39
0.0029600000000000004,6.090868499212698E-39
0.0029700000000000004,4.6413426512204695E-39
0.0029800000000000004,3.6863661042191005E-39
0.00299,3.084729846219709E-39
0.003,2.482719511773101E-39
0.00301,1.8803351008793006E-39
0.00302,1.2775766135383062E-39
0.00303,6.744440497501203E-40
0.00304,7.093740951474162E-41
0.00305,-5.329433071678303E-40
0.0030600000000000002,-1.1371981002975933E-39
0.0030700000000000002,-1.7418269698745495E-39
0.0030800000000000003,-2.346829915898698E-39
0.0030900000000000003,-2.952206938370039E-39
0.0031000000000000003,-3.5579580372885736E-39
0.0031100000000000004,-4.1640832126542996E-39
0.0031200000000000004,-4.595308239073902E-39
0.0031300000000000004,-4.9263425225560134E-39
0.0031400000000000004,-5.223978546360344E-39
0.0031500000000000005,-5.4882163104868955E-39
0.00316,-5.719055814935659E-39
0.00317,-5.916497059706651E-39
0.00318,-6.080540044799867E-39
0.00319,-6.2111847702153E-39
0.0032,-6.308431235952957E-39
0.00321,-6.372279442012834E-39
0.00322,-6.402729388394929E-39
