% Model,COMSOL_3D_CNN_Design_3_1_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Dec 6 2025, 16:19"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3)
3,1.563445965739664E-4,1.6535678161344624E-4,1.4510812624095898E-4,1.4393319613870264E-4,5.096843958762194E-5,7.439139573338519E-6,6.34985352464858E-7
3.0500000000000003,1.620041345451925E-4,1.707647907770114E-4,1.508185960497767E-4,1.500964219939393E-4,5.3717927880911294E-5,8.118343436777602E-6,7.603934274085106E-7
3.1,1.6766367251641847E-4,1.7617279994057653E-4,1.5652906585859457E-4,1.5625964784917593E-4,5.6467416174200624E-5,8.797547300216664E-6,8.866792310119424E-7
3.1500000000000004,1.7329848438856518E-4,1.8158080910414193E-4,1.6223953566741218E-4,1.6242287370441262E-4,5.921690446748999E-5,9.476751163655745E-6,1.0129650346153748E-6
3.2,1.782475618116106E-4,1.86988818267707E-4,1.6795000547622995E-4,1.682581501523153E-4,6.19663927607793E-5,1.0274221080900154E-5,1.1392508382188075E-6
3.25,1.83196639177628E-4,1.9239682743127202E-4,1.7366047528504766E-4,1.73877099935447E-4,6.498381403712545E-5,1.1421884005573786E-5,1.26553664182224E-6
3.3000000000000003,1.881457165436453E-4,1.978048365948373E-4,1.7937094509386535E-4,1.7949604971857853E-4,6.837042448037655E-5,1.256954692395985E-5,1.3918224454256728E-6
3.35,1.9309479390966264E-4,2.0321284575840245E-4,1.8439787992375985E-4,1.851149995017101E-4,7.175703492362774E-5,1.3717209842345913E-5,1.5181082490291052E-6
3.4000000000000004,1.9804387127568E-4,2.086208549219677E-4,1.8928820457941653E-4,1.9073394928484187E-4,7.514364536687887E-5,1.4864872760731985E-5,1.675427476775377E-6
3.45,2.029929486416972E-4,2.1275796835722077E-4,1.9417852923507323E-4,1.9635289906797342E-4,7.853025581012999E-5,1.6012535679118036E-5,1.92866969890502E-6
3.5,2.0794202600771456E-4,2.1643736718512406E-4,1.9906885389073012E-4,2.0197184885110503E-4,8.191686625338107E-5,1.716019859750411E-5,2.1819119196186885E-6
3.5500000000000003,2.128911033737319E-4,2.2011676601302725E-4,2.039591785463868E-4,2.0743242676551641E-4,8.530347669663223E-5,1.8307861515890175E-5,2.4351541403323606E-6
3.6,2.1784018073974916E-4,2.237961648409304E-4,2.088495032020436E-4,2.125289985775322E-4,8.869008713988333E-5,1.9470181579377502E-5,2.6883963610460284E-6
3.6500000000000004,2.223569258410207E-4,2.274755636688336E-4,2.137398278577005E-4,2.1750896613163733E-4,9.207669758313457E-5,2.115721055576417E-5,2.9416385817596984E-6
3.7,2.2606400985767308E-4,2.3115496249673676E-4,2.1863015251335723E-4,2.2237232942783175E-4,9.54633080263856E-5,2.2844239590994797E-5,3.194880802473368E-6
3.75,2.2977109387432496E-4,2.348343613246401E-4,2.2316072278451407E-4,2.2711908846611547E-4,9.884991846963673E-5,2.453126862622544E-5,3.4481230231870357E-6
3.8000000000000003,2.3347817789097708E-4,2.3851376015254314E-4,2.2683572795130892E-4,2.317492432464884E-4,1.0223652891288788E-4,2.6218297661456076E-5,3.7466383679472948E-6
3.85,2.3718526190762926E-4,2.421931589804466E-4,2.3051073317266815E-4,2.362627937689508E-4,1.0562313935613902E-4,2.79053266966867E-5,4.106671556888662E-6
3.9000000000000004,2.408923459242814E-4,2.4587255780834965E-4,2.3418573839402722E-4,2.4065974003350247E-4,1.0897692296520254E-4,2.9592355731917373E-5,4.48862053518246E-6
3.95,2.445994299409336E-4,2.495519566362526E-4,2.3786074361538642E-4,2.4494008204014326E-4,1.1232349957967234E-4,3.127938476714799E-5,4.892485302828697E-6
4,2.483065139575857E-4,2.532313554641559E-4,2.415357488367454E-4,2.491038197888735E-4,1.1567007619414211E-4,3.2966413802378616E-5,5.318265859827364E-6
