% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 28 2025, 12:09"
% Dimension,1
% Nodes,401
% Expressions,1
% Description,Table graph
% ,
0.0034000000000000002,6.465393683232844
0.003425,6.493180175807263
0.0034500000000000004,6.5199303463104705
0.0034750000000000002,6.546680516813675
0.0035,6.573430687316879
0.0035250000000000004,6.600180857820085
0.00355,6.626931028323291
0.003575,6.651861909702967
0.0036000000000000003,6.676388632942233
0.003625,6.7009153561815
0.00365,6.725442079420763
0.0036750000000000003,6.749968802660031
0.0037,6.774290570749919
0.003725,6.796687488577424
0.0037500000000000003,6.81908440640493
0.003775,6.8414813242324355
0.0038,6.863878242059939
0.0038250000000000003,6.886275159887446
0.00385,6.9079331284189545
0.003875,6.928355485058043
0.0039000000000000003,6.948777841697139
0.0039250000000000005,6.96920019833623
0.00395,6.9896225549753215
0.003975,7.010044911614412
0.004,7.02804626666073
0.004025,7.044756782850841
0.00405,7.061467299040951
0.0040750000000000005,7.0781778152310615
0.0041,7.094888331421171
0.004125,7.1115988476112815
0.00415,7.128309363801386
0.004175,7.1450198799915
0.004200000000000001,7.161730396181608
0.0042250000000000005,7.178440912371717
0.00425,7.195151428561829
0.004275,7.211163069735382
0.0043,7.224517533320135
0.004325,7.237871996904883
0.004350000000000001,7.2512264604896375
0.004375,7.264580924074389
0.0044,7.277935387659141
0.004425,7.291289851243893
0.00445,7.304644314828644
0.004475,7.317998778413396
0.0045000000000000005,7.331353241998147
0.004525,7.344707705582902
0.00455,7.35806216916765
0.004575,7.369423833245767
0.0046,7.380170769715091
0.004625000000000001,7.390917706184415
0.0046500000000000005,7.401664642653739
0.004675,7.41241157912306
0.0047,7.423158515592382
0.004725,7.43390545206171
0.00475,7.444652388531031
0.004775000000000001,7.455399325000354
0.0048000000000000004,7.466146261469679
0.004825,7.476893197939003
0.00485,7.4868798875643074
0.004875,7.495252940357509
0.0049,7.5036259931507105
0.0049250000000000006,7.511999045943917
0.00495,7.520372098737118
0.004975,7.528745151530322
0.005,7.537118204323528
0.005025,7.54549125711673
0.005050000000000001,7.553864309909934
0.0050750000000000005,7.562237362703135
0.0051,7.570610415496339
0.005125,7.578983468289542
0.00515,7.585578038519768
0.005175,7.591921462740401
0.005200000000000001,7.598264886961034
0.0052250000000000005,7.604608311181664
0.00525,7.610951735402302
0.005275,7.617295159622932
0.0053,7.623638583843565
0.005325,7.629982008064202
0.005350000000000001,7.636325432284831
0.0053750000000000004,7.642668856505469
0.0054,7.649012280726102
0.005425,7.6546819251402045
0.00545,7.659466632791973
0.005475,7.664251340443743
0.0055000000000000005,7.669036048095514
0.005525,7.673820755747285
0.00555,7.678605463399056
0.005575,7.683390171050826
0.0056,7.688174878702599
0.005625000000000001,7.69295958635437
0.0056500000000000005,7.69774429400614
0.005675,7.702529001657911
0.0057,7.7073137093096795
0.005725,7.710867709892607
0.00575,7.714407104714626
0.005775000000000001,7.7179464995366445
0.0058000000000000005,7.721485894358662
0.005825,7.725025289180681
0.00585,7.7285646840027
0.005875,7.732104078824718
0.0059,7.735643473646738
0.005925000000000001,7.739182868468756
0.00595,7.7427222632907755
0.005975,7.746261658112794
0.006,7.7489164085806
0.006025,7.750830446729254
0.006050000000000001,7.752744484877914
0.0060750000000000005,7.754658523026571
0.0061,7.756572561175227
0.006125,7.758486599323883
0.00615,7.760400637472541
0.006175,7.7623146756212
0.006200000000000001,7.764228713769856
0.0062250000000000005,7.76614275191851
0.00625,7.768056790067169
0.006275,7.769970828215826
0.0063,7.771884866364482
0.006325,7.773798904513141
0.006350000000000001,7.775712942661796
0.0063750000000000005,7.777626980810455
0.0064,7.779541018959111
0.006425,7.781455057107769
0.00645,7.7833690952564245
0.006475000000000001,7.785283133405083
0.006500000000000001,7.787197171553737
0.006525,7.789111209702396
0.00655,7.791025247851054
0.006575,7.792392898018889
0.0066,7.793474393624121
0.006625000000000001,7.794555889229354
0.0066500000000000005,7.795637384834586
0.006675,7.796718880439818
0.0067,7.79780037604505
0.006725,7.798881871650281
0.00675,7.799963367255516
0.006775000000000001,7.8010448628607465
0.0068000000000000005,7.802126358465978
0.006825,7.803207854071212
0.00685,7.804289349676446
0.006875,7.805370845281676
0.006900000000000001,7.806452340886909
0.006925000000000001,7.807533836492143
0.0069500000000000004,7.808615332097376
