% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 17:39"
% Table,Table 36 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3)
27,0.1419160177048455,0.034328737631653714,0.08883647042577306,0.04479819255226455,0.059485130713593966,0.06495916292771574
27.5,0.15892177812069774,0.041753369103106834,0.10193454126462362,0.05356821959217866,0.06990382705990582,0.07592984277687666
28,0.17545450794889753,0.049585225842193756,0.11496531620794365,0.06264816262172736,0.08052783239222773,0.08705427162311598
28.5,0.1913857267171014,0.05767417737940055,0.1277882646295357,0.07188177002860922,0.09118668940519485,0.09816551653645225
29,0.20661916835959562,0.06588664051116203,0.14031891439583966,0.08114147344634574,0.10175425416085318,0.10914232154050586
29.5,0.22105289111669338,0.07411931668816975,0.15249096170724272,0.09033666654713289,0.11214233462434013,0.11990105083458841
30,0.23458107935187733,0.08229665700687218,0.1642388100115136,0.09940367470996937,0.12228976809104279,0.1303825344392374
30.5,0.2471035626068594,0.09037063412597639,0.17548776182152437,0.1082993099160806,0.13214767256749604,0.14053553035052063
31,0.258547731445806,0.09830410536505067,0.18615132823202762,0.11698303760313893,0.1416684450326278,0.15030898891948744
31.5,0.26888701682999017,0.10606086059971875,0.1961542396150526,0.12540977105628234,0.15079993189000987,0.1596467059728903
32,0.27813713376665095,0.11360068407514266,0.205430327402892,0.13352758975492032,0.15948595578614236,0.1684890868753539
32.5,0.28635911491122873,0.12087603690544717,0.21393659543255492,0.14127764245913088,0.16767073412087222,0.17678018780513463
33,0.29365709561655895,0.12784046956678286,0.22166071131297788,0.14860880125161421,0.17530634053818558,0.18447477649428956
33.5,0.3001453426576873,0.13444729479106468,0.22862523156253667,0.15547501832822574,0.1823597343125752,0.19154615085827356
34,0.30594452787063353,0.14065624007299712,0.2348796594473604,0.16184361029160604,0.18881725959316625,0.1979901714906731
34.5,0.311166618855329,0.14643782505863065,0.2404941673391705,0.1677007854837852,0.19468812591583898,0.20382678397595763
35,0.3159107458754644,0.15177987002009408,0.24555201249586606,0.17305476329602196,0.2000041681622878,0.2090979078312649
35.5,0.32025943238093874,0.15668790133478147,0.2501442209533323,0.17793223532557326,0.20481586345087188,0.2138634686984317
36,0.324276268855146,0.16118399542954673,0.254354510874225,0.1823769189717092,0.20918909260170176,0.21819581831080706
36.5,0.328022432685444,0.165307768929829,0.25826028595996214,0.186446938469518,0.21319918312614142,0.22217477121866228
37,0.3315599878732776,0.16911734134517328,0.2619356529774513,0.19021517768124283,0.2169273935851186,0.22588460182680292
37.5,0.33496634545113146,0.17267811420957724,0.26545410306086603,0.19375524965774985,0.22045846541510905,0.22940967523705538
38,0.3383271777658147,0.17606721052502153,0.26889871306056845,0.1971499321130553,0.2238805289493159,0.23283689524125892
38.5,0.34174499609697506,0.17937168385697855,0.2723524815091602,0.2004881866421654,0.2272835943863688,0.2362562966722968
39,0.34534240463246396,0.18269217345558883,0.27591537013330736,0.2038707178089712,0.23076390438090502,0.2397640915903994
39.5,0.3492620155648809,0.18613743506198685,0.2797031129138302,0.20740617111791235,0.23442715974318165,0.24346458534331827
40,0.3536570098817776,0.18982359075738445,0.2838488219747228,0.21121101387717833,0.23838819137493963,0.24747251523964253
40.5,0.35867315809680217,0.19387833810520874,0.28849829100653246,0.2154140899163511,0.2427681687639037,0.25191165033476426
41,0.3644542489100245,0.19843463636241798,0.29378889686300436,0.2201497980438676,0.24769487807962257,0.2569100383299924
41.5,0.37112747953217384,0.2036384090332925,0.29985682542167785,0.2255634508500455,0.25329508957014185,0.2625952124534757
42,0.3787975202196286,0.20961415991871823,0.3068221778110827,0.23177670047511115,0.25968721774925274,0.26908533921620315
42.5,0.38752358920697827,0.21647825972208853,0.31478389878680596,0.23890376735789354,0.2669762323975748,0.27648216520013863
