% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 25 2025, 11:16"
% Dimension,1
% Nodes,208
% Expressions,4
% Description,Global
% Time (s),Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration
3.7420455618474695E-5,0.8994812328713828,0.8994812328713798,9.100518767128635,9.100518767128635
3.951719534197172E-5,0.8558428926059668,0.8558428926059638,9.144157107394053,9.14415710739405
4.161393506546874E-5,0.8162422335024583,0.8162422335024556,9.183757766497566,9.183757766497559
4.3710674788965766E-5,0.7801433056968899,0.780143305696887,9.219856694303132,9.219856694303127
4.580741451246279E-5,0.7471017502853086,0.7471017502853058,9.252898249714713,9.25289824971471
4.790415423595981E-5,0.716745305572237,0.7167453055722341,9.283254694427784,9.283254694427782
5.000089395945684E-5,0.6887594121047209,0.6887594121047179,9.311240587895298,9.3112405878953
5.209763368295386E-5,0.6628766688535406,0.6628766688535374,9.337123331146477,9.337123331146483
5.4194373406450884E-5,0.638868572042861,0.6388685720428581,9.361131427957156,9.361131427957162
5.629111312994791E-5,0.6165386780523007,0.6165386780522977,9.383461321947715,9.383461321947722
5.838785285344493E-5,0.5957170330960617,0.595717033096059,9.404282966903954,9.40428296690396
6.0484592576941955E-5,0.5762558057904836,0.5762558057904807,9.423744194209531,9.423744194209537
6.258133230043897E-5,0.5580258546290876,0.5580258546290847,9.441974145370928,9.44197414537093
6.467807202393599E-5,0.5409139123364084,0.5409139123364053,9.459086087663607,9.45908608766361
6.6774811747433E-5,0.5248202116972343,0.5248202116972309,9.475179788302784,9.475179788302786
6.887155147093002E-5,0.5096565050547066,0.5096565050547032,9.49034349494531,9.490343494945316
7.306503091792407E-5,0.4818150530944134,0.4818150530944093,9.518184946905588,9.518184946905599
7.683916242021871E-5,0.4592373411710879,0.459237341171083,9.540762658828903,9.540762658828916
8.061329392251336E-5,0.4386807973214145,0.43868079732140935,9.561319202678574,9.561319202678584
8.4387425424808E-5,0.4198852661910547,0.4198852661910496,9.580114733808939,9.580114733808943
8.816155692710265E-5,0.4026339009977678,0.40263390099776314,9.59736609900223,9.597366099002231
9.193568842939729E-5,0.38674417190743104,0.38674417190742627,9.613255828092566,9.613255828092568
9.570981993169193E-5,0.3720610315303014,0.37206103153029635,9.627938968469696,9.627938968469698
9.948395143398658E-5,0.3584519749960027,0.35845197499599774,9.641548025003994,9.641548025003997
1.0325808293628122E-4,0.34580325881461954,0.3458032588146147,9.654196741185379,9.654196741185379
1.0703221443857587E-4,0.33401673871582555,0.33401673871582066,9.665983261284172,9.66598326128417
1.1080634594087051E-4,0.3230072129419723,0.32300721294196755,9.676992787058028,9.676992787058026
1.1458047744316515E-4,0.31270030512489366,0.31270030512488883,9.687299694875108,9.687299694875108
1.183546089454598E-4,0.30303081433122026,0.30303081433121554,9.696969185668783,9.696969185668781
1.2212874044775443E-4,0.29394137632267886,0.2939413763226743,9.706058623677324,9.706058623677324
1.2590287195004906E-4,0.2853813260754811,0.2853813260754766,9.714618673924523,9.714618673924521
1.3345113495463835E-4,0.26967502673989097,0.26967502673988675,9.730324973260114,9.730324973260114
1.402445716587687E-4,0.25694816499997497,0.25694816499997075,9.743051835000028,9.743051835000033
1.4673232088772235E-4,0.24586689603667544,0.24586689603667106,9.754133103963325,9.75413310396333
1.53220070116676E-4,0.23570160719299346,0.2357016071929889,9.764298392807008,9.764298392807008
1.5970781934562965E-4,0.22634337458382695,0.22634337458382248,9.773656625416178,9.773656625416171
1.661955685745833E-4,0.2176999224106674,0.21769992241066294,9.782300077589339,9.78230007758933
1.7268331780353696E-4,0.20969237451616538,0.20969237451616105,9.790307625483841,9.790307625483832
1.791710670324906E-4,0.2022529675961947,0.20225296759619033,9.797747032403812,9.797747032403805
1.8565881626144426E-4,0.19532328068872856,0.1953232806887242,9.804676719311276,9.804676719311272
1.9214656549039792E-4,0.18885269609789038,0.18885269609788602,9.811147303902116,9.811147303902114
1.9863431471935157E-4,0.18279708349695792,0.1827970834969535,9.81720291650305,9.817202916503044
2.0512206394830522E-4,0.1771177616669434,0.17711776166693902,9.822882238333063,9.822882238333056
2.1160981317725887E-4,0.17178069872192017,0.17178069872191573,9.828219301278088,9.828219301278079
2.1809756240621253E-4,0.16675585678781946,0.16675585678781502,9.833244143212188,9.83324414321218
2.2458531163516618E-4,0.16201662389932658,0.16201662389932212,9.83798337610068,9.837983376100677
2.375608100930735E-4,0.15330304492920502,0.15330304492920044,9.8466969550708,9.846696955070795
2.505363085509808E-4,0.14547919445707577,0.14547919445707108,9.85452080554293,9.854520805542919
2.635118070088881E-4,0.13841526743727242,0.13841526743726773,9.861584732562735,9.861584732562717
2.764873054667954E-4,0.1320054655937088,0.13200546559370413,9.867994534406298,9.867994534406282
2.8946280392470273E-4,0.12616289580018167,0.12616289580017706,9.873837104199822,9.873837104199811
3.0243830238261003E-4,0.1208155259057902,0.12081552590578563,9.879184474094213,9.879184474094199
3.1541380084051734E-4,0.1159030182755936,0.11590301827558899,9.884096981724412,9.884096981724396
3.2838929929842464E-4,0.11137439361637495,0.11137439361637036,9.888625606383632,9.888625606383615
3.4136479775633195E-4,0.10718632066427468,0.10718632066427006,9.892813679335731,9.892813679335715
3.5434029621423925E-4,0.10330177573290285,0.10330177573289821,9.896698224267102,9.896698224267086
3.6731579467214656E-4,0.09968893296575727,0.09968893296575262,9.900311067034245,9.900311067034231
3.8029129313005386E-4,0.09632026045575023,0.09632026045574557,9.903679739544254,9.903679739544238
