% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 29 2025, 10:19"
% Table,Table 20 - 3D_Pipe_1_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
1.18,0.9114549971326138
1.19,0.9179012720315423
1.2,0.9237399610990913
1.21,0.9291983918353097
1.22,0.9342554964794135
1.23,0.9388304844733938
1.24,0.9429233558172507
1.25,0.9465841910949506
1.26,0.9500759591643158
1.27,0.9532093987924124
1.28,0.9559845099792422
1.29,0.9584012927248039
1.3,0.9606392760563514
1.31,0.9627036554027876
1.32,0.9645164870074686
1.33,0.966077770870395
1.34,0.967412406923889
1.35,0.968712579541791
1.36,0.969844965525022
1.37,0.9708095648735829
1.3800000000000001,0.9716063775874726
1.3900000000000001,0.972332475100878
1.4000000000000001,0.9730041905819015
1.41,0.9735706358460575
1.42,0.974031810893347
1.43,0.974396161635518
1.44,0.9747719488247811
1.45,0.9750864641456319
1.46,0.9753397075980709
1.47,0.9755316791820986
1.48,0.9757043076647773
1.49,0.9758714082299714
1.5,0.9760066366303758
1.51,0.9761099928659916
1.52,0.976183039048391
1.53,0.9762720030110533
1.54,0.9763467206310738
1.55,0.9764071919084538
1.56,0.9764534168431923
1.57,0.976498298067736
1.58,0.9765485229338342
1.59,0.9765944145811781
1.6,0.9766359730097695
1.61,0.9766731982196064
1.62,0.9767229505593285
1.6300000000000001,0.9767745951328942
1.6400000000000001,0.9768280537040303
1.6500000000000001,0.9768833262727361
1.6600000000000001,0.9769448530253936
1.67,0.9770159305962575
1.68,0.9770925883580958
1.69,0.9771748263109077
1.7,0.9772626444546936
1.71,0.9773602178654739
1.72,0.9774651580387217
1.73,0.977577284886792
1.74,0.9776965984096846
1.75,0.9778233447107081
1.76,0.9779577730935745
1.77,0.9780996206913064
1.78,0.9782488875039032
1.79,0.9784055735313658
1.8,0.9785675397441681
1.81,0.9787358722035224
1.82,0.9789107532918424
1.83,0.9790921830091293
1.84,0.9792789277988204
1.85,0.9794693271700858
1.86,0.9796649624215436
1.87,0.979865833553193
1.8800000000000001,0.9800719405650351
1.8900000000000001,0.9802806221053998
1.9000000000000001,0.9804930407415984
1.9100000000000001,0.9807095466825815
1.92,0.9809301399283494
1.93,0.9811538372593409
1.94,0.9813789019269471
1.95,0.9816068592254298
1.96,0.9818377091547897
1.97,0.9820714517150273
1.98,0.9823052793254688
1.99,0.9825401979750016
2,0.9827767208770125
2.0100000000000002,0.9830148480315041
2.02,0.9832532650501288
2.0300000000000002,0.9834889311821065
2.04,0.9837243458994704
2.05,0.9839595092022224
2.06,0.9841944210903613
2.07,0.9844290815638881
2.08,0.9846634906228028
2.09,0.9848976482671039
2.1,0.9851315544967939
2.11,0.9853642455048213
2.12,0.9855932688199861
2.13,0.9858212098807676
2.14,0.9860480686871652
2.15,0.9862738452391784
2.16,0.9864985395368077
2.17,0.986722151580052
2.18,0.9869446813689129
2.19,0.9871657379269103
2.2,0.9873820553925123
2.21,0.9875964256130452
2.22,0.9878088485885094
2.23,0.9880193243189054
2.24,0.988227852804232
2.25,0.9884344340444897
2.2600000000000002,0.9886390680396778
2.27,0.9888417547897984
2.2800000000000002,0.9890407697629073
2.29,0.9892373987306633
2.3000000000000003,0.9894316899361653
2.31,0.9896236433794132
2.32,0.9898132590604073
2.33,0.990000536979147
2.34,0.9901854771356328
2.35,0.990368079529865
2.36,0.9905484674010943
2.37,0.9907265731478924
2.38,0.9909023742608294
2.39,0.9910758707399077
2.4,0.9912470625851258
2.41,0.9914159497964837
2.42,0.9915825323739822
2.43,0.9917468103176194
2.44,0.9919097298006068
2.45,0.9920710334526003
2.46,0.9922303433345
2.47,0.9923876594463059
2.48,0.9925429817880185
2.49,0.9926963103596377
2.5,0.9928476451611611
2.5100000000000002,0.9929969861925927
2.52,0.9931448290041824
2.5300000000000002,0.9932912453292272
2.54,0.9934358754926647
2.5500000000000003,0.9935787194944946
2.56,0.9937197773347175
2.57,0.9938590490133328
2.58,0.9939965345303414
2.59,0.9941322338857435
2.6,0.9942663806316977
2.61,0.9943991722724784
2.62,0.9945303112241743
