% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
3.38,-7.909427770576118E-62
3.39,-8.49647619984321E-62
3.4,-9.113277638806321E-62
3.41,-9.759832087465327E-62
3.42,-1.0436139545820358E-61
3.43,-1.114220001387117E-61
3.44,-1.1878013491618049E-61
3.45,-1.2643579979060755E-61
3.46,-1.3438899476199438E-61
3.47,-1.4263971983034038E-61
3.48,-1.5287039882624301E-61
3.49,-1.6496172317228625E-61
3.5,-1.7778055735998084E-61
3.5100000000000002,-1.9132690138932956E-61
3.52,-2.0560075526033343E-61
3.5300000000000002,-2.206021189729898E-61
3.54,-2.3633099252729986E-61
3.5500000000000003,-2.527873759232643E-61
3.56,-2.69971269160883E-61
3.5700000000000003,-2.8788267224015523E-61
3.58,-3.0652158516108035E-61
3.59,-3.258880079236597E-61
3.6,-3.4598194052789166E-61
3.61,-3.713607957811051E-61
3.62,-4.008841466666667E-61
3.63,-4.321829271016355E-61
3.64,-4.652571370860228E-61
3.65,-5.001067766198181E-61
3.66,-5.367318457030247E-61
3.67,-5.751323443356436E-61
3.68,-6.153082725176769E-61
3.69,-6.572596302491228E-61
3.7,-7.009864175299721E-61
3.71,-7.46488634360242E-61
3.72,-7.937662807399198E-61
3.73,-8.428193566690155E-61
3.74,-9.057942661683058E-61
3.75,-9.778551062296864E-61
3.7600000000000002,-1.0542276793331092E-60
3.77,-1.1349119854785824E-60
3.7800000000000002,-1.2199080246661175E-60
3.79,-1.3092157968956877E-60
3.8000000000000003,-1.402835302167313E-60
3.81,-1.5007665404809885E-60
3.8200000000000003,-1.6030095118367167E-60
3.83,-1.709564216234476E-60
3.84,-1.8204306536743129E-60
3.85,-1.9356088241561807E-60
3.86,-2.0550987276800942E-60
3.87,-2.210917899607041E-60
3.88,-2.3863462713208015E-60
3.89,-2.5722049715307684E-60
3.9,-2.7684940002369765E-60
3.91,-2.9752133574393537E-60
3.92,-3.1923630431379504E-60
3.93,-3.4199430573327804E-60
3.94,-3.657953400023785E-60
3.95,-3.9063940712110457E-60
3.96,-4.1652650708944545E-60
3.97,-4.4345663990741226E-60
3.98,-4.7142980557499566E-60
3.99,-5.004460040922036E-60
4,-5.389223593118106E-60
4.01,-5.815744863377814E-60
4.0200000000000005,-6.267514226865202E-60
4.03,-6.744531683580122E-60
4.04,-7.246797233522754E-60
4.05,-7.774310876692959E-60
4.0600000000000005,-8.32707261309085E-60
4.07,-8.905082442716326E-60
4.08,-9.508340365569375E-60
4.09,-1.0136846381650044E-59
4.1,-1.0790600490958385E-59
4.11,-1.1469602693494334E-59
4.12,-1.2173852989257912E-59
4.13,-1.312605168174773E-59
4.14,-1.4166126464726966E-59
4.15,-1.5267768087893283E-59
4.16,-1.6430976551246454E-59
