% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 12:17"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3)
15.9,27.700000985509966
15.950000000000001,29.38522585996647
16,31.12865452489111
16.05,32.93028698028395
16.1,34.75699701825599
16.150000000000002,36.628529126174364
16.2,38.54505739930238
16.25,40.50658183764033
16.3,42.46687815829433
16.35,44.44998206104503
16.400000000000002,46.45834205659699
16.45,48.49195814495006
16.5,50.497553632129154
16.55,52.49827755226227
16.6,54.49979935226964
16.650000000000002,56.50211903215124
16.7,58.452302741937395
16.75,60.36822740864701
16.8,62.25871902566563
16.85,64.12377759299325
16.900000000000002,65.917740809857
16.95,67.65098262869795
17,69.33425240118274
17.05,70.96755012731118
17.1,72.51756430146985
17.150000000000002,73.98761632155457
17.2,75.38817832783
17.25,76.71925032029618
17.3,77.96251729409924
17.35,79.1170818519651
17.400000000000002,80.1903836056997
17.45,81.18242255530303
17.5,82.08965480649233
17.55,82.91128377506546
17.6,83.64913260323212
17.650000000000002,84.30320129099219
17.7,84.88138516361305
17.75,85.38712539320387
17.8,85.81533684500337
17.85,86.16601951901139
17.900000000000002,86.45506461361758
17.95,86.69350293336052
18,86.86858522229343
18.05,86.98031148041635
18.1,87.0462041463277
18.150000000000002,87.08409510789136
18.2,87.07646246716106
18.25,87.02330622413683
18.3,86.93998531768864
18.35,86.84853784974737
18.400000000000002,86.72969851444489
18.45,86.5834673117812
18.5,86.42158145921374
18.55,86.26744117412147
18.6,86.10233330590181
18.650000000000002,85.92625785455503
18.7,85.74658420823637
18.75,85.58380920617901
18.8,85.4226580752661
18.85,85.26313081549769
18.900000000000002,85.10884455527774
18.95,84.97417906425461
19,84.84901781928144
19.05,84.73336082035834
19.1,84.62816327372175
19.150000000000002,84.53915782933524
19.200000000000003,84.46250092404998
19.25,84.39819255786603
19.3,84.34597035329698
19.35,84.30315883499853
19.400000000000002,84.27147975400386
19.450000000000003,84.25093311031311
19.5,84.24119403799413
19.55,84.23443933095771
19.6,84.235527799278
19.650000000000002,84.24445944295513
19.700000000000003,84.26123426198906
19.75,84.27641844350167
19.8,84.29562313626806
19.85,84.31890531265604
19.900000000000002,84.34626497266578
19.950000000000003,84.37015763253389
20,84.39449573599691
20.05,84.4196855151011
20.1,84.44572696984626
20.150000000000002,84.46815284851897
20.200000000000003,84.48889716143762
20.25,84.50843968449766
20.3,84.52678041769903
20.35,84.54224221409306
20.400000000000002,84.5553884795972
20.450000000000003,84.56650072447377
20.5,84.57557894872285
20.55,84.58286356134968
20.6,84.58830043817603
20.650000000000002,84.5918326781295
20.700000000000003,84.5934602812102
20.75,84.59423139306804
20.8,84.59404400330745
20.85,84.59256706181662
20.900000000000002,84.58980056859555
20.950000000000003,84.58685275008553
21,84.58378100632491
21.05,84.58013326109533
21.1,84.57590951439683
21.150000000000002,84.5718879422155
21.200000000000003,84.56824605153223
21.25,84.56458191931415
21.3,84.56089554556125
21.35,84.55756756604823
21.400000000000002,84.55476541593973
21.450000000000003,84.55224299786279
21.5,84.55000031181733
21.55,84.54810479125571
21.6,84.54660358119972
21.650000000000002,84.5454423750611
21.700000000000003,84.54462117283968
21.75,84.5440622963682
21.8,84.54368620392711
21.85,84.54357087143129
21.900000000000002,84.54371629888081
21.950000000000003,84.54401730157038
22,84.54432207981043
22.05,84.5447631026254
22.1,84.54534037001531
22.150000000000002,84.54597733060737
22.200000000000003,84.54652049568776
22.25,84.5470924432855
22.3,84.54769317340072
22.35,84.54828533462945
22.400000000000002,84.54876442298527
22.450000000000003,84.54920823220827
22.5,84.54961676229838
22.55,84.54998123738996
22.6,84.55026653974741
22.650000000000002,84.55049735317496
22.700000000000003,84.55067367767238
22.75,84.55079875291779
22.8,84.55089217613475
22.85,84.5509408180553
22.900000000000002,84.55094467867919
22.950000000000003,84.55090813088606
23,84.55087625809854
23.05,84.55082006683902
23.1,84.55073955710758
23.150000000000002,84.5506365318039
23.200000000000003,84.55055536136733
23.25,84.55046850418853
23.3,84.55037596026757
23.35,84.55027772960442
23.400000000000002,84.55020171039806
23.450000000000003,84.55013134390309
23.5,84.55006643973478
23.55,84.55000699789291
23.6,84.54996087227522
23.650000000000002,84.5499240009719
23.700000000000003,84.54989595420736
23.75,84.54987673198157
23.8,84.54985826118924
23.85,84.54984402418168
23.900000000000002,84.54983489595278
23.950000000000003,84.54983087650251
24,84.54983196583086
24.05,84.54983816393789
24.1,84.54984947082357
24.150000000000002,84.54986588648785
24.200000000000003,84.54987438934495
24.25,84.54988071933568
24.3,84.54988834510134
24.35,84.5498972666418
24.400000000000002,84.54990748395718
24.450000000000003,84.54991899704748
24.5,84.54993180591266
24.55,84.54994591055271
24.6,84.5499578134617
24.650000000000002,84.5499681884654
24.700000000000003,84.54997864678263
24.75,84.54998918841359
24.8,84.54999981335804
24.85,84.55001052161616
24.900000000000002,84.55002131318787
24.950000000000003,84.5500321880731
25,84.55003988447011
25.05,84.5500438936321
25.1,84.55004660783628
25.150000000000002,84.55004802708274
25.200000000000003,84.5500481513715
25.25,84.55004698070249
25.3,84.55004451507574
25.35,84.55004075449133
25.400000000000002,84.55003756188093
25.450000000000003,84.55003620787085
25.5,84.55003455998714
25.55,84.55003261822971
25.6,84.55003038259859
25.650000000000002,84.55002785309375
25.700000000000003,84.55002502971526
25.75,84.55002191246305
25.8,84.55001922506206
25.85,84.55001810243529
25.900000000000002,84.55001721512447
25.950000000000003,84.55001656312982
26,84.55001614645121
26.05,84.55001596508879
26.1,84.55001601904243
26.150000000000002,84.5500163083121
26.200000000000003,84.55001628467448
26.25,84.5500140961615
26.3,84.55001152467247
26.35,84.5500085702073
26.400000000000002,84.55000523276601
26.450000000000003,84.55000151234857
26.5,84.54999740895504
26.55,84.54999292258535
26.6,84.54998863322187
26.650000000000002,84.54998984149303
26.700000000000003,84.54999205394803
26.75,84.54999527058688
26.8,84.54999949140952
26.85,84.55000471641596
26.900000000000002,84.55001094560629
26.950000000000003,84.55001817898042
27,84.55002641653839
27.05,84.55002827891464
27.1,84.55003007596846
27.150000000000002,84.55003187302219
27.200000000000003,84.550033670076
27.25,84.55003546712973
27.3,84.55003726418353
27.35,84.55003906123736
27.400000000000002,84.55004085829111
27.450000000000003,84.55004265534482
27.5,84.5500444523987
27.55,84.5500462494524
27.6,84.55004804650623
27.650000000000002,84.55004984355996
27.700000000000003,84.55005164061376
27.75,84.55005343766749
27.8,84.55005523472128
27.85,84.55005474498562
27.900000000000002,84.550053565073
27.950000000000003,84.55005238516047
28,84.5500512052479
28.05,84.55005002533538
28.1,84.55004884542281
28.150000000000002,84.55004766551019
28.200000000000003,84.55004648559768
28.25,84.55004530568509
28.3,84.55004412577259
28.35,84.55004294586
28.400000000000002,84.55004176594743
28.450000000000003,84.5500405860349
28.5,84.55003940612234
28.55,84.55003822620978
28.6,84.55003704629713
28.650000000000002,84.55003527519118
28.700000000000003,84.55003301196028
28.75,84.55003074872933
28.8,84.55002848549844
28.85,84.55002622226748
28.900000000000002,84.55002395903666
28.950000000000003,84.5500216958057
29,84.55001943257474
29.05,84.55001716934383
29.1,84.5500149061129
29.150000000000002,84.55001264288201
29.200000000000003,84.55001037965111
29.25,84.55000811642017
29.3,84.55000585318928
