% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 15:53"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3)
6.3500000000000005,5.0200582272481926E-5,3.80066784626813E-12,3.80066784626813E-12,1.6715303194527196E-7
6.4,7.865519335756803E-5,8.977713611528388E-12,8.977713611528388E-12,2.80996705935989E-7
6.45,1.234474685006686E-4,2.1347375220693218E-11,2.1347375220693218E-11,5.137100947615783E-7
6.5,2.0365446124181113E-4,6.030915076803037E-11,6.030915076803037E-11,8.330871075493383E-7
6.550000000000001,3.157300869960507E-4,1.504297897052868E-10,1.504297897052868E-10,1.4806934898163992E-6
6.6000000000000005,4.965880813351956E-4,3.4934355768725594E-10,3.4934355768725594E-10,2.377390717717688E-6
6.65,7.524930479320971E-4,7.332437302654286E-10,7.332437302654286E-10,4.0235606322223786E-6
6.7,0.0011178659023779857,1.390995680912146E-9,1.390995680912146E-9,6.3824894843342035E-6
6.75,0.0016554741506245455,2.517310916501242E-9,2.517310916501242E-9,1.035338658408901E-5
6.800000000000001,0.002364480868984426,4.555226816859523E-9,4.555226816859523E-9,1.6205842956642536E-5
6.8500000000000005,0.0034275475874678252,7.875770336257973E-9,7.875770336257973E-9,2.5336164726764255E-5
6.9,0.004765220249744272,1.3256473786849223E-8,1.3256473786849223E-8,3.907719201412895E-5
6.95,0.006740741646490083,2.2768650226743564E-8,2.2768650226743564E-8,5.9162462262106876E-5
7,0.00924485845731839,3.80036697373419E-8,3.80036697373419E-8,8.981011534050883E-5
7.050000000000001,0.012617553486793203,6.218761627625815E-8,6.218761627625815E-8,1.3221298525662505E-4
7.1000000000000005,0.016954779579881854,1.038321244133372E-7,1.038321244133372E-7,1.973108358867671E-4
7.15,0.022461302369007376,1.6899103038657762E-7,1.6899103038657762E-7,2.8340207299046055E-4
7.2,0.029595025913529947,2.6958678403962775E-7,2.6958678403962775E-7,4.1539073581645303E-4
7.25,0.038269218612237296,4.383895858930385E-7,4.383895858930385E-7,5.837712579277205E-4
7.300000000000001,0.04943214571297871,6.965693530288145E-7,6.965693530288145E-7,8.393669817619193E-4
7.3500000000000005,0.06267475752272317,1.0864686812090273E-6,1.0864686812090273E-6,0.0011636194635258194
7.4,0.07927773510569294,1.719599236007281E-6,1.719599236007281E-6,0.0016318402836107758
7.45,0.09888282541539385,2.6686964100123847E-6,2.6686964100123847E-6,0.002233282349071591
7.5,0.12237975381897714,4.072234797935002E-6,4.072234797935002E-6,0.0030612704589722795
7.550000000000001,0.15006347441685053,6.277442852350319E-6,6.277442852350319E-6,0.0041340368576498615
7.6000000000000005,0.18217448729607533,9.519286965805581E-6,9.519286965805581E-6,0.005550106472750334
7.65,0.21955845625298553,1.4215238424686629E-5,1.4215238424686629E-5,0.007389076134496705
7.7,0.26192865612466804,2.13670304863508E-5,2.13670304863508E-5,0.009731486128330366
7.75,0.31033341428616573,3.167256535347699E-5,3.167256535347699E-5,0.012763265513175455
7.800000000000001,0.36432421024297046,4.6288986141067976E-5,4.6288986141067976E-5,0.016518165049248416
7.8500000000000005,0.42454637207720985,6.788316687789251E-5,6.788316687789251E-5,0.02135779181757116
7.9,0.49083331185425516,1.0243406109366145E-4,1.0243406109366145E-4,0.027206061807944
7.95,0.5629995508372511,1.5595010902120647E-4,1.5595010902120647E-4,0.034603665132377406
8,0.6409932983395309,2.261962779555289E-4,2.261962779555289E-4,0.04335727730906155
8.05,0.7244185962594645,3.331233612484037E-4,3.331233612484037E-4,0.05428092856549894
8.1,0.8125271993896622,4.8255510588440055E-4,4.8255510588440055E-4,0.067071199337378
8.15,0.9054541085107686,6.661609061510167E-4,6.661609061510167E-4,0.08261894194579433
8.200000000000001,1.001374768109517,9.548462482611914E-4,9.548462482611914E-4,0.10073933543581737
8.25,1.1010635308658125,0.0013208396025063253,0.0013208396025063253,0.12216851798406952
8.3,1.2018419629042338,0.0017936054868758938,0.0017936054868758938,0.14697910610560125
8.35,1.304342105211326,0.00247272417768648,0.00247272417768648,0.175641684720063
8.4,1.4066470856697868,0.0033038649336261626,0.0033038649336261626,0.20848089464295386
8.450000000000001,1.5079335192698242,0.004418495144610219,0.004418495144610219,0.2456696331158938
8.5,1.6077367192074439,0.0058788199205924855,0.0058788199205924855,0.28768749374164987
8.55,1.7039278108265956,0.0076243920953775945,0.0076243920953775945,0.3344789126929912
8.6,1.7972572592317086,0.010027388419601617,0.010027388419601617,0.38652179484063837
8.65,1.884996512803163,0.012961110432945948,0.012961110432945948,0.44364278260233087
8.700000000000001,1.9682944209850939,0.01651633685673239,0.01651633685673239,0.506081884251651
8.75,2.045015181207326,0.02111813694686937,0.02111813694686937,0.5737212219025876
8.8,2.115614148613524,0.02654058817691843,0.02654058817691843,0.6462587790073
8.85,2.1796130708165764,0.03319580299647537,0.03319580299647537,0.7238094877327832
8.9,2.2367304727884028,0.04133237750887494,0.04133237750887494,0.8053867641351756
