% Model,COMSOL_3D_Design_1_1_Transmitter_CNN.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 7 2025, 14:06"
% Table,Table 22 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3)
30.400000000000002,0.9847016322323244
30.6,0.9848846205195094
30.8,0.9850543773148613
31,0.9852079585245935
31.200000000000003,0.9853564236851464
31.400000000000002,0.9855058581970968
31.6,0.9856496209491441
31.8,0.9857897832328949
32,0.9859321349752287
32.2,0.986072923251824
32.4,0.9862121508147058
32.6,0.9863500313915117
32.800000000000004,0.986486450462121
33,0.9866214080265321
33.2,0.9867536393224308
33.4,0.9868832498106814
33.6,0.9870105578904409
33.800000000000004,0.9871351695747096
34,0.9872567311476999
34.2,0.9873755537536586
34.4,0.9874916373925838
34.6,0.9876049820644753
34.800000000000004,0.9877155877693342
35,0.9878234545071592
35.2,0.9879112616973961
35.4,0.9879980161932957
35.6,0.9880847706891965
35.800000000000004,0.9881715251850964
36,0.9882582796809963
36.2,0.9883450341768977
36.4,0.9884317886727969
36.6,0.9885185431686966
36.800000000000004,0.9886052976645975
37,0.9886920521604973
37.2,0.988778806656398
37.4,0.9888655611522981
37.6,0.988952315648198
37.800000000000004,0.9890267535063345
38,0.9890994563047761
38.2,0.9891721591032185
38.400000000000006,0.98924486190166
38.6,0.9893175647001015
38.800000000000004,0.9893902674985439
39,0.9894629702969849
39.2,0.9895356730954276
39.400000000000006,0.9896083758938685
39.6,0.9896810786923111
39.800000000000004,0.9897537814907523
40,0.9898264842891943
