% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
2.15,-1.7179152111057583E-57,-3.2372426214907105E-51,-4.6875288033335597E-66
2.2,-2.080838233987243E-56,-1.757748241933431E-50,-2.522912817757379E-65
2.25,-3.0468336777568533E-55,-8.313275105507592E-50,-1.3352602467568035E-64
2.3000000000000003,-3.5960370926104915E-54,-2.6570140202907957E-49,-6.827490009102011E-64
2.35,-3.97798394853766E-53,1.6879290851305333E-48,-3.3982040594150447E-63
2.4000000000000004,-3.796351185360309E-52,5.293657583708601E-47,-1.6845148150832707E-62
2.45,-2.5983667202882957E-51,7.600672155352291E-46,-9.509598071659292E-62
2.5,-9.826981973868498E-51,8.611059261797728E-45,-5.237946760290091E-61
2.5500000000000003,7.877255082620041E-50,8.538884808504994E-44,-2.8536905908372123E-60
2.6,-2.5719701027176818E-36,7.793920990867535E-43,-1.5568061673062446E-59
2.6500000000000004,-9.918069379920907E-36,8.712617804786338E-42,-9.374363538298409E-59
2.7,-2.8084028992353986E-35,8.257175861386226E-41,-6.455358282860392E-58
2.75,-7.381119452115281E-35,7.003710280850219E-40,-4.2783942082893293E-57
2.8000000000000003,-1.5585414096923156E-34,5.460977469551809E-39,-2.6956739189651657E-56
2.85,4.176717188909983E-34,3.976002348323388E-38,-1.5947811858549421E-55
2.9000000000000004,8.57228616339918E-33,2.9878112277796485E-37,-9.635406969923724E-55
2.95,7.058454046083239E-32,2.3565118008777904E-36,-5.237534689694917E-54
3,3.916108177621118E-31,1.6813691868016831E-35,-2.100753328330147E-53
3.0500000000000003,2.7408268680597633E-30,1.1104438626686163E-34,-2.5166164917762153E-53
3.1,1.95217148075723E-29,6.884238087271436E-34,6.19986970801767E-52
3.1500000000000004,1.2150739223037334E-28,4.0436896687377595E-33,-4.488374024908037E-37
3.2,6.510455271544786E-28,2.562327384589653E-32,-1.5885323995903535E-36
3.25,2.8840671080364592E-27,1.5751538288002635E-31,-3.9637416243732116E-36
3.3000000000000003,1.5777830326494457E-26,9.01607636952945E-31,-1.1471034227798234E-35
3.35,8.58858330224623E-26,4.8639549477570155E-30,-3.0692189236188344E-35
3.4000000000000004,4.212884958461488E-25,2.4940495704986774E-29,-7.944808868999464E-35
3.45,1.8412320052126107E-24,1.2314651820526092E-28,-2.2401784840391627E-34
