% Model,CNN_Q_5uL_min_Design_1_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Nov 19 2025, 10:38"
% Table,Table 1 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_3 (mol/m^3)
16,8.407832923861003E-6,0.0010904357057791487,7.444892522185092E-4
16.400000000000002,6.411631529564241E-6,7.303595673479613E-4,0.0012186184037414423
16.8,6.0589996954328705E-6,5.578944492506979E-4,0.0020087573728667235
17.2,6.42841950909132E-6,4.565143216446041E-4,0.0027303584325443914
17.6,5.935831212688223E-6,2.84796980886918E-4,0.0030186208176090526
18,4.520400995602461E-6,8.294795580106719E-5,0.0028828425773059028
18.400000000000002,3.327080625468977E-6,-8.860539891304802E-6,0.0024904640695378
18.8,2.6849568070574198E-6,-3.882160051914549E-6,0.0019862882057883327
19.200000000000003,2.083566100322691E-6,1.4155927331857419E-6,0.0014961920318718733
19.6,1.5272419364202427E-6,-2.566789961077877E-7,0.001101230391367561
20,1.1379822268163444E-6,2.651810446359065E-8,8.255801500815058E-4
20.400000000000002,8.568331709531294E-7,2.280985623102908E-9,6.146718834921708E-4
20.8,5.675336161135479E-7,-9.03006579528355E-10,3.813415855211481E-4
21.200000000000003,2.482225229694969E-7,-4.6161971436095047E-11,1.4285355007956683E-4
21.6,3.3184656248594084E-8,2.1313285945395406E-11,7.759434676801194E-6
22,-1.3453440802125774E-8,-5.663070969098404E-13,-8.48069184672488E-6
22.400000000000002,5.76175146803449E-10,-4.9703170490471355E-14,1.5124661389567255E-6
22.8,1.3139042770432127E-9,6.799768464008016E-15,5.736066739349326E-7
23.200000000000003,-3.2668111101812605E-11,-2.8991680841863165E-16,-1.3871201633745874E-8
23.6,6.611299938850484E-11,2.1722804486441314E-16,4.4487403439376814E-8
24,3.1419055123305924E-11,2.6385140505121802E-17,1.4353383906082305E-8
24.400000000000002,8.178420987174464E-12,-2.1637413882360394E-17,5.683373130302278E-9
24.8,2.362779538486525E-12,-5.62485641292092E-18,2.4771464089235694E-9
25.200000000000003,7.010822941849911E-13,-3.6078583629383003E-19,1.0805163522616478E-9
25.6,2.500114437737141E-13,3.696078542066563E-19,4.579775305666573E-10
26,9.475584194516357E-14,1.9704280159197469E-19,1.8291849166624026E-10
26.400000000000002,3.6691554148814606E-14,5.628813169791354E-20,7.097212501332894E-11
26.8,1.4874404088280723E-14,2.0836269140944867E-20,2.7681337330940715E-11
27.200000000000003,6.249553450019966E-15,4.646894052470082E-21,1.1277435257705455E-11
27.6,2.7442116469122274E-15,-2.3317298882051733E-21,4.80479170358274E-12
28,1.2376042431929795E-15,-1.2906266873627394E-21,2.119037934465072E-12
28.400000000000002,5.545603208290547E-16,-4.841931153446543E-22,9.471242854985523E-13
28.8,2.442039345472517E-16,-1.6500572836072505E-22,4.21963570202894E-13
29.200000000000003,1.0712322169730381E-16,-6.585694538060037E-23,1.8658911272737913E-13
29.6,4.73176081325973E-17,-3.200254187976701E-23,8.223201452399948E-14
30,2.0959709807969983E-17,-1.5252187924302964E-23,3.626943909142285E-14
30.400000000000002,9.259536608260829E-18,-6.598902150560939E-24,1.602843468968956E-14
30.8,4.087281829807893E-18,-2.8160577585952587E-24,7.086723480394975E-15
31.200000000000003,1.8060363613295848E-18,-1.2547719432656373E-24,3.1309810725011163E-15
31.6,7.981371776770805E-19,-5.603673112309313E-25,1.3829975150223278E-15
32,3.5267205508645183E-19,-2.461914126899981E-25,6.110986569403392E-16
32.4,1.5584855328872606E-19,-1.08041228306956E-25,2.700454157733717E-16
32.800000000000004,6.886913100887696E-20,-4.724634289067947E-26,1.193202979611061E-16
33.2,3.043291483419827E-20,-2.0313022370069428E-26,5.272005918952195E-17
33.6,1.3446357051410401E-20,-8.475300944233213E-27,2.3289268297931475E-17
34,5.92024471286613E-21,-4.867095115556768E-27,1.0284020360258107E-17
34.4,2.594333988787748E-21,-1.0666226861053321E-26,4.541581533466086E-18
34.800000000000004,1.1295484928672844E-21,-9.003278040002866E-27,1.944779438574494E-18
35.2,4.467130543178439E-22,-4.575123412021655E-27,7.741926848782644E-19
35.6,1.7551834291447112E-22,-3.5830373167788944E-27,2.992851063411208E-19
36,6.250058818748541E-23,-2.1383591021470715E-27,1.1200692661768068E-19
36.4,4.958976257607182E-24,-6.8983257703466E-27,3.357178030907688E-20
36.800000000000004,2.2360759985456185E-24,-2.1675106944036766E-27,3.650612745834297E-21
37.2,2.1271123835500644E-24,2.3794434975875107E-27,1.9706423578448553E-21
37.6,2.0181487685545188E-24,6.926397689578704E-27,2.906719698554126E-22
38,2.2502217007424285E-24,8.504812116427191E-27,-6.890575836232929E-22
38.400000000000006,2.8701884701403475E-24,6.706819263992762E-27,-8.723355353227834E-22
38.800000000000004,3.4901552395382745E-24,4.908826411558372E-27,-1.055613487022271E-21
39.2,2.8116991529878574E-24,3.96700518387551E-27,-9.96565920575108E-22
39.6,1.7030006933365878E-24,3.308882991470063E-27,-8.57221934889269E-22
40,5.943022336853126E-25,2.6507607990646163E-27,-7.178779492034299E-22
